日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,16563.22,16493.01,16563.22,16476.97,-0.42,-70.19,594078,485591536.0,0.52,0.13
2025-08-19 09:40:00,16492.4,16520.76,16532.33,16492.4,0.17,27.75,313683,268555016.0,0.24,0.07
2025-08-19 09:45:00,16518.55,16511.78,16527.14,16504.93,-0.05,-8.98,294418,255276727.0,0.13,0.06
2025-08-19 09:50:00,16516.79,16498.48,16522.32,16492.43,-0.08,-13.3,232157,191875283.0,0.18,0.05
2025-08-19 09:55:00,16496.36,16484.7,16502.69,16482.77,-0.08,-13.78,188271,159866781.0,0.12,0.04
2025-08-19 10:00:00,16483.38,16461.63,16499.01,16461.63,-0.14,-23.07,314632,225441554.0,0.23,0.07
2025-08-19 10:05:00,16458.63,16381.4,16466.29,16381.4,-0.49,-80.23,335406,282922852.0,0.52,0.07
2025-08-19 10:10:00,16381.32,16402.38,16403.26,16353.75,0.13,20.98,322365,241902581.0,0.3,0.07
2025-08-19 10:15:00,16401.67,16396.84,16412.72,16384.0,-0.03,-5.54,255034,166337694.0,0.18,0.05
2025-08-19 10:20:00,16395.84,16370.01,16397.72,16370.01,-0.16,-26.83,228289,161439802.0,0.17,0.05
2025-08-19 10:25:00,16369.73,16372.24,16383.2,16365.67,0.01,2.23,127318,108894247.0,0.11,0.03
2025-08-19 10:30:00,16374.09,16407.37,16413.61,16370.96,0.21,35.13,111891,86830591.0,0.26,0.02
2025-08-19 10:35:00,16410.63,16437.96,16442.5,16408.12,0.19,30.59,147545,107229974.0,0.21,0.03
2025-08-19 10:40:00,16439.91,16444.97,16451.46,16439.01,0.04,7.01,129791,118549813.0,0.08,0.03
2025-08-19 10:45:00,16445.36,16443.6,16449.04,16435.63,-0.01,-1.37,131139,101220044.0,0.08,0.03
2025-08-19 10:50:00,16445.09,16457.36,16462.72,16439.34,0.08,13.76,111720,98729617.0,0.14,0.02
2025-08-19 10:55:00,16459.71,16464.4,16468.33,16450.71,0.04,7.04,162030,117032203.0,0.11,0.03
2025-08-19 11:00:00,16463.41,16462.51,16472.16,16458.27,-0.01,-1.89,93744,84014260.0,0.08,0.02
2025-08-19 11:05:00,16460.49,16484.12,16486.47,16454.89,0.13,21.61,84068,73687587.0,0.19,0.02
2025-08-19 11:10:00,16480.07,16486.14,16489.89,16471.78,0.01,2.02,91083,79318018.0,0.11,0.02
2025-08-19 11:15:00,16487.27,16491.51,16501.13,16484.98,0.03,5.37,102202,91101548.0,0.1,0.02
2025-08-19 11:20:00,16495.74,16505.3,16513.95,16493.74,0.08,13.79,105304,101664744.0,0.12,0.02
2025-08-19 11:25:00,16504.01,16509.63,16518.2,16500.3,0.03,4.33,118320,89943619.0,0.11,0.03
2025-08-19 11:30:00,16512.01,16507.56,16519.07,16499.97,-0.01,-2.07,92115,69653797.0,0.12,0.02
2025-08-19 13:05:00,16507.56,16546.58,16552.18,16505.44,0.24,39.02,168127,166209936.0,0.28,0.04
2025-08-19 13:10:00,16545.52,16543.93,16554.59,16536.8,-0.02,-2.65,99352,95540837.0,0.11,0.02
2025-08-19 13:15:00,16543.2,16525.64,16550.64,16522.44,-0.11,-18.29,97322,91171183.0,0.17,0.02
2025-08-19 13:20:00,16526.93,16521.61,16544.04,16518.59,-0.02,-4.03,101082,97993344.0,0.15,0.02
2025-08-19 13:25:00,16521.94,16515.96,16528.05,16511.44,-0.03,-5.65,86575,71324071.0,0.1,0.02
2025-08-19 13:30:00,16517.32,16509.7,16517.32,16499.42,-0.04,-6.26,97364,77347565.0,0.11,0.02
2025-08-19 13:35:00,16505.55,16463.78,16510.3,16463.78,-0.28,-45.92,136915,100957069.0,0.28,0.03
2025-08-19 13:40:00,16467.19,16480.77,16483.93,16456.9,0.1,16.99,92301,83751375.0,0.16,0.02
2025-08-19 13:45:00,16480.48,16473.3,16481.22,16467.13,-0.05,-7.47,59721,55553504.0,0.09,0.01
2025-08-19 13:50:00,16476.54,16458.08,16477.09,16449.28,-0.09,-15.22,94127,77989637.0,0.17,0.02
2025-08-19 13:55:00,16458.32,16444.43,16458.81,16432.88,-0.08,-13.65,103151,93294280.0,0.16,0.02
2025-08-19 14:00:00,16446.05,16446.72,16465.77,16445.24,0.01,2.29,78391,68495932.0,0.12,0.02
2025-08-19 14:05:00,16446.31,16479.99,16481.87,16445.85,0.2,33.27,107290,85812924.0,0.22,0.02
2025-08-19 14:10:00,16480.65,16486.12,16491.94,16478.79,0.04,6.13,80119,69783685.0,0.08,0.02
2025-08-19 14:15:00,16483.1,16484.27,16488.61,16476.65,-0.01,-1.85,83440,67760658.0,0.07,0.02
2025-08-19 14:20:00,16482.04,16473.4,16490.34,16473.07,-0.07,-10.87,73457,65632512.0,0.1,0.02
2025-08-19 14:25:00,16471.0,16458.11,16472.18,16453.43,-0.09,-15.29,87231,84115044.0,0.11,0.02
2025-08-19 14:30:00,16458.23,16447.93,16459.64,16433.54,-0.06,-10.18,174168,143518816.0,0.16,0.04
2025-08-19 14:35:00,16446.59,16456.49,16458.96,16444.91,0.05,8.56,78361,65482564.0,0.09,0.02
2025-08-19 14:40:00,16458.98,16466.78,16467.42,16457.28,0.06,10.29,79001,74453625.0,0.06,0.02
2025-08-19 14:45:00,16463.78,16461.44,16466.75,16454.25,-0.03,-5.34,110264,90085197.0,0.08,0.02
2025-08-19 14:50:00,16458.78,16471.13,16476.14,16457.56,0.06,9.69,121989,109169403.0,0.11,0.03
2025-08-19 14:55:00,16471.65,16458.52,16471.65,16452.51,-0.08,-12.61,223713,160016889.0,0.12,0.05
2025-08-19 15:00:00,16459.96,16469.34,16472.51,16457.08,0.07,10.82,181778,147898644.0,0.09,0.04
2025-08-20 09:35:00,16460.06,16614.91,16626.74,16454.7,0.88,145.57,1530433,924357665.0,1.04,0.33
2025-08-20 09:40:00,16610.4,16647.42,16656.24,16579.53,0.2,32.51,617746,485233809.0,0.46,0.13
2025-08-20 09:45:00,16644.98,16644.04,16671.48,16641.92,-0.02,-3.38,562290,379285888.0,0.18,0.12
2025-08-20 09:50:00,16644.28,16691.52,16694.44,16631.33,0.29,47.48,344352,297049608.0,0.38,0.07
2025-08-20 09:55:00,16691.77,16703.52,16703.52,16669.47,0.07,12.0,250266,225196350.0,0.2,0.05
2025-08-20 10:00:00,16702.92,16710.98,16723.62,16686.32,0.04,7.46,265120,258082269.0,0.22,0.06
2025-08-20 10:05:00,16715.77,16671.98,16719.97,16671.32,-0.23,-39.0,246943,198847860.0,0.29,0.05
2025-08-20 10:10:00,16670.72,16676.42,16694.86,16670.22,0.03,4.44,210557,222836139.0,0.15,0.05
2025-08-20 10:15:00,16674.75,16676.48,16682.49,16669.54,0.0,0.06,155422,141783084.0,0.08,0.03
2025-08-20 10:20:00,16679.33,16684.06,16684.76,16667.37,0.05,7.58,134787,118224735.0,0.1,0.03
2025-08-20 10:25:00,16680.13,16683.0,16688.28,16670.07,-0.01,-1.06,116001,120995016.0,0.11,0.02
2025-08-20 10:30:00,16680.36,16699.83,16704.69,16680.36,0.1,16.83,106233,115277692.0,0.15,0.02
2025-08-20 10:35:00,16703.21,16722.85,16725.49,16700.48,0.14,23.02,132380,96260929.0,0.15,0.03
2025-08-20 10:40:00,16721.16,16714.42,16722.76,16705.09,-0.05,-8.43,88988,91324015.0,0.11,0.02
2025-08-20 10:45:00,16707.37,16712.73,16721.07,16703.83,-0.01,-1.69,70341,74505135.0,0.1,0.02
2025-08-20 10:50:00,16710.33,16729.4,16734.31,16705.83,0.1,16.67,83857,79529946.0,0.17,0.02
2025-08-20 10:55:00,16731.56,16739.05,16739.05,16706.7,0.06,9.65,104981,123110096.0,0.19,0.02
2025-08-20 11:00:00,16740.47,16762.06,16770.37,16738.91,0.14,23.01,227414,237813394.0,0.19,0.05
2025-08-20 11:05:00,16761.82,16747.27,16765.71,16726.81,-0.09,-14.79,123538,127887717.0,0.23,0.03
2025-08-20 11:10:00,16748.38,16734.37,16756.99,16731.92,-0.08,-12.9,83001,77225210.0,0.15,0.02
2025-08-20 11:15:00,16733.24,16739.88,16740.38,16720.07,0.03,5.51,139182,90572106.0,0.12,0.03
2025-08-20 11:20:00,16740.51,16691.73,16740.59,16685.41,-0.29,-48.15,119841,103575207.0,0.33,0.03
2025-08-20 11:25:00,16690.28,16674.96,16705.79,16672.21,-0.1,-16.77,81839,79976709.0,0.2,0.02
2025-08-20 11:30:00,16676.5,16683.65,16688.74,16645.06,0.05,8.69,152321,150748993.0,0.26,0.03
2025-08-20 13:05:00,16683.65,16746.0,16756.63,16682.9,0.37,62.35,283481,304907460.0,0.44,0.06
2025-08-20 13:10:00,16744.22,16723.59,16745.37,16716.57,-0.13,-22.41,156061,176079748.0,0.17,0.03
2025-08-20 13:15:00,16723.38,16787.44,16790.65,16720.69,0.38,63.85,243645,290944166.0,0.42,0.05
2025-08-20 13:20:00,16785.89,16795.69,16798.01,16776.52,0.05,8.25,133286,158389915.0,0.13,0.03
2025-08-20 13:25:00,16801.34,16795.26,16807.37,16791.13,0.0,-0.43,104319,120286393.0,0.1,0.02
2025-08-20 13:30:00,16794.9,16822.92,16826.51,16792.5,0.16,27.66,119763,143900723.0,0.2,0.03
2025-08-20 13:35:00,16827.12,16814.96,16829.69,16808.71,-0.05,-7.96,104381,107466140.0,0.12,0.02
2025-08-20 13:40:00,16815.41,16828.91,16833.04,16815.41,0.08,13.95,94205,108963303.0,0.1,0.02
2025-08-20 13:45:00,16832.77,16816.89,16838.21,16810.79,-0.07,-12.02,99497,111489609.0,0.16,0.02
2025-08-20 13:50:00,16814.99,16824.49,16832.48,16811.15,0.05,7.6,78659,85162389.0,0.13,0.02
2025-08-20 13:55:00,16826.26,16850.42,16857.08,16822.12,0.15,25.93,154336,171804538.0,0.21,0.03
2025-08-20 14:00:00,16848.79,16871.78,16874.17,16842.48,0.13,21.36,166807,183418881.0,0.19,0.04
2025-08-20 14:05:00,16872.4,16929.08,16929.08,16869.86,0.34,57.3,261439,258952460.0,0.35,0.06
2025-08-20 14:10:00,16931.23,16938.89,16944.12,16917.24,0.06,9.81,321446,393694880.0,0.16,0.07
2025-08-20 14:15:00,16938.16,16963.6,16963.6,16931.47,0.15,24.71,210776,253872238.0,0.19,0.05
2025-08-20 14:20:00,16963.96,16984.0,16992.95,16963.96,0.12,20.4,264480,299946418.0,0.17,0.06
2025-08-20 14:25:00,16982.31,16969.81,16989.94,16962.53,-0.08,-14.19,189109,205778451.0,0.16,0.04
2025-08-20 14:30:00,16970.22,16964.63,16973.57,16953.0,-0.03,-5.18,185311,186334562.0,0.12,0.04
2025-08-20 14:35:00,16966.39,16975.94,16982.06,16966.39,0.07,11.31,162815,166062866.0,0.09,0.03
2025-08-20 14:40:00,16975.96,16961.41,16975.96,16956.52,-0.09,-14.53,175900,179074472.0,0.11,0.04
2025-08-20 14:45:00,16964.05,16976.0,16978.26,16954.19,0.09,14.59,221103,196013265.0,0.14,0.05
2025-08-20 14:50:00,16973.76,16999.23,16999.23,16973.76,0.14,23.23,269213,281936148.0,0.15,0.06
2025-08-20 14:55:00,16996.77,17004.3,17008.26,16992.56,0.03,5.07,275730,287525381.0,0.09,0.06
2025-08-20 15:00:00,17002.7,17019.01,17019.12,16997.0,0.09,14.71,269046,248326160.0,0.13,0.06
2025-08-21 09:35:00,17031.03,16950.8,17085.49,16947.91,-0.4,-68.21,1750712,1501554541.0,0.81,0.38
2025-08-21 09:40:00,16954.34,16952.9,16968.13,16937.3,0.01,2.1,693676,606604634.0,0.18,0.15
2025-08-21 09:45:00,16953.22,16901.48,16954.98,16893.4,-0.3,-51.42,547766,470792914.0,0.36,0.12
2025-08-21 09:50:00,16900.09,16894.79,16953.96,16894.28,-0.04,-6.69,406119,328709711.0,0.35,0.09
2025-08-21 09:55:00,16893.86,16899.11,16906.91,16863.22,0.03,4.32,368966,306441344.0,0.26,0.08
2025-08-21 10:00:00,16899.41,16885.05,16902.41,16876.77,-0.08,-14.06,289883,257347463.0,0.15,0.06
2025-08-21 10:05:00,16884.46,16894.24,16926.04,16878.3,0.05,9.19,346493,288556726.0,0.28,0.07
2025-08-21 10:10:00,16891.54,16937.71,16943.45,16891.54,0.26,43.47,282811,242637422.0,0.31,0.06
2025-08-21 10:15:00,16939.92,16937.76,16950.08,16929.13,0.0,0.05,204708,176014089.0,0.12,0.04
2025-08-21 10:20:00,16942.76,16925.23,16944.9,16899.8,-0.07,-12.53,179770,167474171.0,0.27,0.04
2025-08-21 10:25:00,16926.68,16926.53,16947.81,16922.47,0.01,1.3,152368,134051653.0,0.15,0.03
2025-08-21 10:30:00,16923.44,16911.52,16931.48,16906.25,-0.09,-15.01,146854,135142754.0,0.15,0.03
2025-08-21 10:35:00,16911.88,16958.18,16958.18,16898.61,0.28,46.66,202320,169776715.0,0.35,0.04
2025-08-21 10:40:00,16957.33,16952.5,16967.38,16939.51,-0.03,-5.68,122159,131368438.0,0.16,0.03
2025-08-21 10:45:00,16949.12,16943.86,16949.68,16928.19,-0.05,-8.64,120679,118643300.0,0.13,0.03
2025-08-21 10:50:00,16941.48,16965.61,16975.49,16941.48,0.13,21.75,204067,143022323.0,0.2,0.04
2025-08-21 10:55:00,16965.69,16987.46,16987.46,16965.69,0.13,21.85,122332,110422232.0,0.13,0.03
2025-08-21 11:00:00,16987.47,16967.18,16996.91,16967.18,-0.12,-20.28,95899,89061179.0,0.18,0.02
2025-08-21 11:05:00,16973.16,16979.75,16985.69,16965.43,0.07,12.57,106514,104088143.0,0.12,0.02
2025-08-21 11:10:00,16981.42,16947.95,16982.55,16947.95,-0.19,-31.8,117199,105467787.0,0.2,0.03
2025-08-21 11:15:00,16948.82,16962.02,16974.7,16944.7,0.08,14.07,117757,107941908.0,0.18,0.03
2025-08-21 11:20:00,16963.33,16940.75,16964.38,16932.7,-0.13,-21.27,108666,89453923.0,0.19,0.02
2025-08-21 11:25:00,16938.65,16940.78,16944.71,16909.74,0.0,0.03,123537,103651478.0,0.21,0.03
2025-08-21 11:30:00,16941.72,16955.65,16962.1,16935.28,0.09,14.87,73164,73656159.0,0.16,0.02
2025-08-21 13:05:00,16955.65,16972.5,16986.93,16952.83,0.1,16.85,170817,173593561.0,0.2,0.04
2025-08-21 13:10:00,16979.66,16979.96,16988.69,16954.0,0.04,7.46,145879,137837604.0,0.2,0.03
2025-08-21 13:15:00,16982.43,16980.45,16985.99,16973.15,0.0,0.49,101500,94514724.0,0.08,0.02
2025-08-21 13:20:00,16977.04,17006.39,17007.12,16967.4,0.15,25.94,131428,133343084.0,0.23,0.03
2025-08-21 13:25:00,17003.83,17006.68,17011.83,16998.2,0.0,0.29,125080,126396566.0,0.08,0.03
2025-08-21 13:30:00,17004.45,17008.28,17019.91,16992.34,0.01,1.6,191976,198136269.0,0.16,0.04
2025-08-21 13:35:00,17009.54,16997.07,17023.06,16993.36,-0.07,-11.21,213279,211487425.0,0.17,0.05
2025-08-21 13:40:00,16994.1,17014.53,17015.13,16990.48,0.1,17.46,151593,155214883.0,0.15,0.03
2025-08-21 13:45:00,17013.69,17005.65,17016.46,16988.76,-0.05,-8.88,169039,162784603.0,0.16,0.04
2025-08-21 13:50:00,17006.49,16999.69,17015.7,16990.98,-0.04,-5.96,166102,129667219.0,0.15,0.04
2025-08-21 13:55:00,16992.41,16986.83,17002.25,16975.35,-0.08,-12.86,262309,191188150.0,0.16,0.06
2025-08-21 14:00:00,16985.45,17010.78,17011.62,16980.49,0.14,23.95,155058,189917715.0,0.18,0.03
2025-08-21 14:05:00,17008.97,17012.11,17027.34,17000.23,0.01,1.33,200168,282416281.0,0.16,0.04
2025-08-21 14:10:00,17011.95,16998.54,17023.19,16996.99,-0.08,-13.57,128552,145089686.0,0.15,0.03
2025-08-21 14:15:00,16995.77,16982.91,16999.2,16977.95,-0.09,-15.63,116320,131221141.0,0.13,0.02
2025-08-21 14:20:00,16982.96,16996.68,17003.66,16974.91,0.08,13.77,150579,148858464.0,0.17,0.03
2025-08-21 14:25:00,16994.94,16944.82,16998.78,16943.57,-0.31,-51.86,187296,177705198.0,0.32,0.04
2025-08-21 14:30:00,16942.32,16949.03,16949.62,16917.89,0.02,4.21,239597,196109040.0,0.19,0.05
2025-08-21 14:35:00,16950.08,16907.14,16965.93,16907.14,-0.25,-41.89,242651,202715898.0,0.35,0.05
2025-08-21 14:40:00,16909.01,16887.34,16916.29,16874.42,-0.12,-19.8,213009,192207581.0,0.25,0.05
2025-08-21 14:45:00,16889.05,16902.77,16923.24,16883.45,0.09,15.43,191117,165508014.0,0.24,0.04
2025-08-21 14:50:00,16902.72,16915.97,16920.31,16892.99,0.08,13.2,192100,173506576.0,0.16,0.04
2025-08-21 14:55:00,16914.28,16945.68,16950.2,16912.24,0.18,29.71,262356,238391584.0,0.22,0.06
2025-08-21 15:00:00,16943.86,16949.5,16953.36,16941.54,0.02,3.82,216876,196207706.0,0.07,0.05
2025-08-22 09:35:00,16920.2,16943.03,16965.36,16893.44,-0.04,-6.47,633474,633767650.0,0.42,0.14
2025-08-22 09:40:00,16943.34,16967.84,16988.8,16932.74,0.15,24.81,396134,360695103.0,0.33,0.09
2025-08-22 09:45:00,16967.52,16947.11,16973.05,16935.76,-0.12,-20.73,323592,326327901.0,0.22,0.07
2025-08-22 09:50:00,16947.04,16941.38,16968.98,16940.09,-0.03,-5.73,289073,253091816.0,0.17,0.06
2025-08-22 09:55:00,16942.05,16920.67,16961.12,16920.67,-0.12,-20.71,242621,215284238.0,0.24,0.05
2025-08-22 10:00:00,16921.42,16911.09,16924.08,16901.23,-0.06,-9.58,231689,212290670.0,0.14,0.05
2025-08-22 10:05:00,16906.18,16907.02,16934.39,16892.63,-0.02,-4.07,283837,285281755.0,0.25,0.06
2025-08-22 10:10:00,16907.79,16898.44,16917.28,16898.23,-0.05,-8.58,248040,208076213.0,0.11,0.05
2025-08-22 10:15:00,16896.04,16907.71,16916.26,16881.02,0.05,9.27,214110,190653431.0,0.21,0.05
2025-08-22 10:20:00,16907.51,16921.55,16925.07,16897.84,0.08,13.84,166402,144287709.0,0.16,0.04
2025-08-22 10:25:00,16920.01,16887.81,16923.45,16887.81,-0.2,-33.74,158277,143559948.0,0.21,0.03
2025-08-22 10:30:00,16888.01,16877.79,16897.45,16870.54,-0.06,-10.02,170145,139254643.0,0.16,0.04
2025-08-22 10:35:00,16879.2,16898.03,16904.29,16879.2,0.12,20.24,121832,114658334.0,0.15,0.03
2025-08-22 10:40:00,16895.76,16899.19,16903.73,16883.14,0.01,1.16,102499,84895753.0,0.12,0.02
2025-08-22 10:45:00,16900.45,16922.26,16922.26,16893.41,0.14,23.07,92511,83622581.0,0.17,0.02
2025-08-22 10:50:00,16923.76,16937.28,16950.22,16923.76,0.09,15.02,111605,103969326.0,0.16,0.02
2025-08-22 10:55:00,16939.41,16958.4,16968.06,16938.2,0.12,21.12,107027,103287922.0,0.18,0.02
2025-08-22 11:00:00,16959.27,16937.43,16960.95,16937.13,-0.12,-20.97,83726,86587907.0,0.14,0.02
2025-08-22 11:05:00,16938.19,16946.68,16949.07,16930.38,0.05,9.25,160824,131568927.0,0.11,0.03
2025-08-22 11:10:00,16946.91,16984.92,16985.38,16943.38,0.23,38.24,159356,172458164.0,0.25,0.03
2025-08-22 11:15:00,16985.64,16956.93,16988.69,16955.34,-0.16,-27.99,97058,101119771.0,0.2,0.02
2025-08-22 11:20:00,16960.9,16966.14,16970.83,16957.88,0.05,9.21,118543,118915554.0,0.08,0.03
2025-08-22 11:25:00,16964.13,16947.07,16967.97,16943.89,-0.11,-19.07,93312,97659768.0,0.14,0.02
2025-08-22 11:30:00,16949.05,16952.34,16962.85,16937.71,0.03,5.27,93807,103045025.0,0.15,0.02
2025-08-22 13:05:00,16952.34,16957.44,16969.28,16945.22,0.03,5.1,139342,138969806.0,0.14,0.03
2025-08-22 13:10:00,16958.78,16964.48,16964.48,16944.99,0.04,7.04,98115,98356109.0,0.11,0.02
2025-08-22 13:15:00,16963.39,16959.23,16964.36,16947.09,-0.03,-5.25,75153,88718241.0,0.1,0.02
2025-08-22 13:20:00,16958.56,16915.68,16960.2,16915.34,-0.26,-43.55,183728,145009865.0,0.26,0.04
2025-08-22 13:25:00,16919.2,16917.49,16928.75,16907.53,0.01,1.81,112319,107989747.0,0.13,0.02
2025-08-22 13:30:00,16916.7,16926.05,16929.12,16910.64,0.05,8.56,116083,98624997.0,0.11,0.02
2025-08-22 13:35:00,16922.46,16926.95,16932.87,16915.68,0.01,0.9,101645,95232824.0,0.1,0.02
2025-08-22 13:40:00,16925.87,16941.89,16942.19,16925.87,0.09,14.94,98994,98520088.0,0.1,0.02
2025-08-22 13:45:00,16940.85,16947.32,16950.1,16935.94,0.03,5.43,81581,89211003.0,0.08,0.02
2025-08-22 13:50:00,16948.94,16935.17,16951.52,16925.66,-0.07,-12.15,89223,90421109.0,0.15,0.02
2025-08-22 13:55:00,16935.61,16932.12,16945.54,16926.34,-0.02,-3.05,103683,98057381.0,0.11,0.02
2025-08-22 14:00:00,16932.3,16952.17,16952.17,16925.69,0.12,20.05,97308,116967567.0,0.16,0.02
2025-08-22 14:05:00,16951.77,16962.67,16965.26,16951.77,0.06,10.5,137153,136488997.0,0.08,0.03
2025-08-22 14:10:00,16964.0,16976.46,16983.29,16963.2,0.08,13.79,131963,125662281.0,0.12,0.03
2025-08-22 14:15:00,16979.45,17001.36,17004.11,16973.13,0.15,24.9,141126,199600415.0,0.18,0.03
2025-08-22 14:20:00,17001.92,17021.5,17029.63,16995.45,0.12,20.14,162852,204036664.0,0.2,0.03
2025-08-22 14:25:00,17019.98,17029.1,17029.2,17002.5,0.04,7.6,140246,140087324.0,0.16,0.03
2025-08-22 14:30:00,17028.3,17027.5,17034.33,17017.24,-0.01,-1.6,111356,125953143.0,0.1,0.02
2025-08-22 14:35:00,17031.12,17032.55,17037.1,17012.48,0.03,5.05,168082,157827116.0,0.14,0.04
2025-08-22 14:40:00,17035.48,17025.64,17037.81,17023.32,-0.04,-6.91,185991,160507362.0,0.09,0.04
2025-08-22 14:45:00,17023.17,17029.56,17033.77,17019.08,0.02,3.92,174500,158108342.0,0.09,0.04
2025-08-22 14:50:00,17030.63,17046.09,17047.13,17025.68,0.1,16.53,196332,197590761.0,0.13,0.04
2025-08-22 14:55:00,17044.84,17047.01,17056.29,17039.43,0.01,0.92,240326,238883129.0,0.1,0.05
2025-08-22 15:00:00,17051.82,17043.58,17054.95,17033.72,-0.02,-3.43,209500,216248992.0,0.12,0.04
2025-08-25 09:35:00,17100.69,17001.22,17100.69,16984.4,-0.25,-42.36,729392,723679222.0,0.68,0.16
2025-08-25 09:40:00,17004.18,17012.79,17015.88,16991.36,0.07,11.57,450282,451027429.0,0.14,0.1
2025-08-25 09:45:00,17012.29,17091.83,17097.61,17012.29,0.46,79.04,372384,364700581.0,0.5,0.08
2025-08-25 09:50:00,17092.17,17114.26,17126.64,17075.2,0.13,22.43,457255,381761014.0,0.3,0.1
2025-08-25 09:55:00,17112.29,17128.55,17130.08,17093.15,0.08,14.29,296405,319513418.0,0.22,0.06
2025-08-25 10:00:00,17127.78,17176.89,17178.43,17126.76,0.28,48.34,330065,322736748.0,0.3,0.07
2025-08-25 10:05:00,17178.16,17208.98,17208.98,17171.19,0.19,32.09,255016,308368601.0,0.22,0.05
2025-08-25 10:10:00,17206.95,17202.88,17221.87,17190.79,-0.04,-6.1,217428,262456320.0,0.18,0.05
2025-08-25 10:15:00,17205.56,17207.13,17220.02,17183.61,0.02,4.25,290902,238693483.0,0.21,0.06
2025-08-25 10:20:00,17206.96,17220.3,17228.65,17196.66,0.08,13.17,228644,228406206.0,0.19,0.05
2025-08-25 10:25:00,17219.05,17202.04,17223.06,17196.96,-0.11,-18.26,143641,150502004.0,0.15,0.03
2025-08-25 10:30:00,17203.03,17205.13,17218.65,17202.86,0.02,3.09,146912,168754478.0,0.09,0.03
2025-08-25 10:35:00,17206.75,17226.88,17227.45,17182.41,0.13,21.75,244622,255339829.0,0.26,0.05
2025-08-25 10:40:00,17223.32,17190.55,17227.28,17188.65,-0.21,-36.33,178166,193282031.0,0.22,0.04
2025-08-25 10:45:00,17193.46,17196.11,17205.83,17182.01,0.03,5.56,164492,171176946.0,0.14,0.04
2025-08-25 10:50:00,17197.28,17166.75,17200.52,17161.94,-0.17,-29.36,121298,139667937.0,0.22,0.03
2025-08-25 10:55:00,17163.65,17170.05,17170.05,17156.28,0.02,3.3,107082,125147107.0,0.08,0.02
2025-08-25 11:00:00,17167.48,17162.95,17174.82,17153.77,-0.04,-7.1,136605,129349399.0,0.12,0.03
2025-08-25 11:05:00,17165.24,17144.05,17168.3,17139.37,-0.11,-18.9,188784,160821197.0,0.17,0.04
2025-08-25 11:10:00,17143.32,17158.45,17162.29,17140.75,0.08,14.4,124783,111584057.0,0.13,0.03
2025-08-25 11:15:00,17159.85,17152.87,17165.47,17141.33,-0.03,-5.58,118746,126832061.0,0.14,0.03
2025-08-25 11:20:00,17152.16,17109.2,17152.16,17109.2,-0.25,-43.67,185589,157101255.0,0.25,0.04
2025-08-25 11:25:00,17110.91,17081.39,17110.91,17068.33,-0.16,-27.81,243513,207735484.0,0.25,0.05
2025-08-25 11:30:00,17081.34,17060.49,17082.16,17036.39,-0.12,-20.9,210473,187450419.0,0.27,0.05
2025-08-25 13:05:00,17060.49,17036.55,17062.67,17022.69,-0.14,-23.94,236547,215721206.0,0.23,0.05
2025-08-25 13:10:00,17033.05,17048.82,17056.93,17028.9,0.07,12.27,148574,150092493.0,0.16,0.03
2025-08-25 13:15:00,17045.52,17043.11,17058.48,17033.93,-0.03,-5.71,137910,131178105.0,0.14,0.03
2025-08-25 13:20:00,17043.65,17004.34,17043.65,16999.58,-0.23,-38.77,219431,173123045.0,0.26,0.05
2025-08-25 13:25:00,17003.49,17007.06,17024.96,16997.43,0.02,2.72,121087,122750155.0,0.16,0.03
2025-08-25 13:30:00,17008.06,16987.28,17012.08,16979.81,-0.12,-19.78,120177,115689328.0,0.19,0.03
2025-08-25 13:35:00,16992.19,17001.52,17009.49,16981.22,0.08,14.24,168306,149264388.0,0.17,0.04
2025-08-25 13:40:00,17000.6,16980.19,17000.87,16973.29,-0.13,-21.33,142199,130082657.0,0.16,0.03
2025-08-25 13:45:00,16980.24,16994.08,16999.0,16975.86,0.08,13.89,97827,94758997.0,0.14,0.02
2025-08-25 13:50:00,16995.56,17032.17,17032.17,16987.57,0.22,38.09,102726,97603541.0,0.26,0.02
2025-08-25 13:55:00,17030.63,17033.42,17036.54,17019.2,0.01,1.25,82940,85542984.0,0.1,0.02
2025-08-25 14:00:00,17032.48,17013.01,17037.19,17009.46,-0.12,-20.41,87931,94643815.0,0.16,0.02
2025-08-25 14:05:00,17008.86,17000.35,17015.22,16986.58,-0.07,-12.66,110330,104792501.0,0.17,0.02
2025-08-25 14:10:00,17002.49,17028.2,17029.57,16998.78,0.16,27.85,80562,83189290.0,0.18,0.02
2025-08-25 14:15:00,17026.31,17056.75,17058.98,17026.31,0.17,28.55,110695,107222104.0,0.19,0.02
2025-08-25 14:20:00,17055.59,17081.44,17084.65,17055.22,0.14,24.69,107472,108052038.0,0.17,0.02
2025-08-25 14:25:00,17082.09,17077.62,17082.39,17069.35,-0.02,-3.82,94545,97530738.0,0.08,0.02
2025-08-25 14:30:00,17080.48,17092.15,17095.9,17074.51,0.09,14.53,86698,88990961.0,0.13,0.02
2025-08-25 14:35:00,17093.52,17079.18,17107.33,17077.24,-0.08,-12.97,141221,133001407.0,0.18,0.03
2025-08-25 14:40:00,17078.36,17078.25,17091.65,17069.8,-0.01,-0.93,93769,94557914.0,0.13,0.02
