日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,17376.32,17401.0,17431.12,17372.76,0.28,47.79,4969886,3260429632.0,0.34,0.13
2025-08-19 09:40:00,17398.85,17372.82,17399.71,17365.21,-0.16,-28.18,2688110,1885052544.0,0.2,0.07
2025-08-19 09:45:00,17374.25,17388.98,17399.43,17371.5,0.09,16.16,1913397,1291587967.0,0.16,0.05
2025-08-19 09:50:00,17389.6,17387.65,17395.09,17381.5,-0.01,-1.33,1477245,985629009.0,0.08,0.04
2025-08-19 09:55:00,17384.41,17396.98,17406.74,17382.74,0.05,9.33,1433057,957796629.0,0.14,0.04
2025-08-19 10:00:00,17396.5,17376.16,17401.72,17370.54,-0.12,-20.82,1037104,732315866.0,0.18,0.03
2025-08-19 10:05:00,17373.24,17348.31,17376.11,17346.66,-0.16,-27.85,1388973,886154156.0,0.17,0.04
2025-08-19 10:10:00,17348.92,17357.11,17357.36,17330.07,0.05,8.8,1907362,1008032279.0,0.16,0.05
2025-08-19 10:15:00,17356.48,17363.25,17365.87,17349.11,0.04,6.14,1013759,663900826.0,0.1,0.03
2025-08-19 10:20:00,17363.43,17354.36,17369.38,17351.7,-0.05,-8.89,791058,598086261.0,0.1,0.02
2025-08-19 10:25:00,17355.35,17344.27,17356.95,17343.49,-0.06,-10.09,735073,497202911.0,0.08,0.02
2025-08-19 10:30:00,17342.81,17358.09,17364.83,17341.1,0.08,13.82,698542,449296436.0,0.14,0.02
2025-08-19 10:35:00,17356.88,17366.37,17371.33,17356.88,0.05,8.28,547034,386289181.0,0.08,0.01
2025-08-19 10:40:00,17367.92,17377.07,17379.62,17365.72,0.06,10.7,503919,358172688.0,0.08,0.01
2025-08-19 10:45:00,17378.27,17384.93,17389.04,17374.44,0.05,7.86,658681,527240623.0,0.08,0.02
2025-08-19 10:50:00,17386.64,17411.14,17420.8,17383.05,0.15,26.21,690472,529999605.0,0.22,0.02
2025-08-19 10:55:00,17414.37,17412.5,17416.36,17406.25,0.01,1.36,376132,271103572.0,0.06,0.01
2025-08-19 11:00:00,17412.53,17409.14,17415.35,17402.35,-0.02,-3.36,524629,339869435.0,0.07,0.01
2025-08-19 11:05:00,17410.06,17419.17,17422.18,17407.68,0.06,10.03,416923,285745336.0,0.08,0.01
2025-08-19 11:10:00,17421.54,17421.62,17429.89,17414.6,0.01,2.45,382113,265260073.0,0.09,0.01
2025-08-19 11:15:00,17424.07,17429.53,17434.68,17422.8,0.05,7.91,379166,275976548.0,0.07,0.01
2025-08-19 11:20:00,17431.04,17430.85,17436.83,17427.05,0.01,1.32,424814,309635209.0,0.06,0.01
2025-08-19 11:25:00,17431.28,17425.42,17431.91,17422.49,-0.03,-5.43,389778,286237678.0,0.05,0.01
2025-08-19 11:30:00,17427.94,17424.55,17431.71,17421.85,0.0,-0.87,444228,322344244.0,0.06,0.01
2025-08-19 13:05:00,17424.55,17420.88,17429.43,17410.78,-0.02,-3.67,793240,525715858.0,0.11,0.02
2025-08-19 13:10:00,17419.35,17423.8,17431.7,17417.36,0.02,2.92,509729,333656596.0,0.08,0.01
2025-08-19 13:15:00,17427.12,17430.91,17437.61,17421.3,0.04,7.11,617965,418549681.0,0.09,0.02
2025-08-19 13:20:00,17429.25,17434.68,17442.35,17429.25,0.02,3.77,542085,383631726.0,0.08,0.01
2025-08-19 13:25:00,17434.49,17437.42,17441.48,17430.46,0.02,2.74,388769,273940056.0,0.06,0.01
2025-08-19 13:30:00,17435.94,17431.46,17436.52,17423.52,-0.03,-5.96,871856,495527885.0,0.07,0.02
2025-08-19 13:35:00,17432.06,17413.21,17432.06,17411.65,-0.1,-18.25,618596,436243800.0,0.12,0.02
2025-08-19 13:40:00,17410.85,17410.22,17413.68,17400.58,-0.02,-2.99,657817,547978673.0,0.08,0.02
2025-08-19 13:45:00,17412.88,17408.31,17414.38,17404.41,-0.01,-1.91,400299,282873947.0,0.06,0.01
2025-08-19 13:50:00,17408.82,17394.73,17412.16,17394.73,-0.08,-13.58,640043,446241129.0,0.1,0.02
2025-08-19 13:55:00,17396.88,17387.68,17400.56,17378.39,-0.04,-7.05,753228,490375569.0,0.13,0.02
2025-08-19 14:00:00,17388.68,17380.14,17394.01,17379.35,-0.04,-7.54,501719,353578433.0,0.08,0.01
2025-08-19 14:05:00,17380.63,17398.43,17398.43,17375.52,0.11,18.29,505099,353008753.0,0.13,0.01
2025-08-19 14:10:00,17395.29,17396.57,17402.2,17392.1,-0.01,-1.86,388337,269714686.0,0.06,0.01
2025-08-19 14:15:00,17399.42,17400.6,17402.71,17392.27,0.02,4.03,458560,309841438.0,0.06,0.01
2025-08-19 14:20:00,17401.09,17390.85,17405.84,17390.36,-0.06,-9.75,402143,308735773.0,0.09,0.01
2025-08-19 14:25:00,17393.79,17384.28,17397.61,17382.74,-0.04,-6.57,508588,366008354.0,0.09,0.01
2025-08-19 14:30:00,17386.29,17380.7,17386.29,17370.26,-0.02,-3.58,624173,461771042.0,0.09,0.02
2025-08-19 14:35:00,17380.56,17393.98,17396.84,17380.56,0.08,13.28,652450,408622977.0,0.09,0.02
2025-08-19 14:40:00,17394.26,17391.76,17403.35,17390.48,-0.01,-2.22,573897,402053026.0,0.07,0.02
2025-08-19 14:45:00,17393.33,17399.62,17403.9,17391.07,0.05,7.86,649201,479332881.0,0.07,0.02
2025-08-19 14:50:00,17398.44,17403.89,17407.13,17396.02,0.02,4.27,814887,590493491.0,0.06,0.02
2025-08-19 14:55:00,17406.75,17405.42,17407.84,17393.9,0.01,1.53,992589,727584107.0,0.08,0.03
2025-08-19 15:00:00,17403.6,17413.46,17419.96,17401.41,0.05,8.04,1171381,767447629.0,0.11,0.03
2025-08-20 09:35:00,17413.66,17382.71,17416.92,17336.21,-0.18,-30.75,3365082,2706147432.0,0.46,0.09
2025-08-20 09:40:00,17380.71,17366.91,17392.7,17366.91,-0.09,-15.8,1701046,1366232193.0,0.15,0.04
2025-08-20 09:45:00,17367.81,17352.61,17374.96,17352.33,-0.08,-14.3,1200251,907759398.0,0.13,0.03
2025-08-20 09:50:00,17353.74,17367.26,17368.89,17353.74,0.08,14.65,1010243,727112360.0,0.09,0.03
2025-08-20 09:55:00,17369.75,17395.55,17402.48,17364.83,0.16,28.29,937227,737230817.0,0.22,0.02
2025-08-20 10:00:00,17396.26,17403.1,17408.07,17389.61,0.04,7.55,846266,637220796.0,0.11,0.02
2025-08-20 10:05:00,17402.87,17389.85,17407.44,17385.96,-0.08,-13.25,962803,653822360.0,0.12,0.03
2025-08-20 10:10:00,17388.45,17379.75,17394.13,17379.75,-0.06,-10.1,672852,554107848.0,0.08,0.02
2025-08-20 10:15:00,17381.42,17382.19,17391.3,17380.02,0.01,2.44,658553,599111212.0,0.06,0.02
2025-08-20 10:20:00,17384.79,17371.57,17385.48,17365.55,-0.06,-10.62,813437,513531005.0,0.11,0.02
2025-08-20 10:25:00,17369.91,17361.49,17373.89,17357.84,-0.06,-10.08,571134,400677693.0,0.09,0.01
2025-08-20 10:30:00,17359.92,17372.32,17375.31,17356.24,0.06,10.83,592188,399153974.0,0.11,0.02
2025-08-20 10:35:00,17373.68,17393.55,17397.39,17371.73,0.12,21.23,654214,428132223.0,0.15,0.02
2025-08-20 10:40:00,17396.43,17401.34,17409.81,17392.83,0.04,7.79,489254,319910170.0,0.1,0.01
2025-08-20 10:45:00,17399.79,17403.57,17406.09,17394.2,0.01,2.23,504499,292083648.0,0.07,0.01
2025-08-20 10:50:00,17399.76,17398.31,17405.14,17390.68,-0.03,-5.26,365744,251582978.0,0.08,0.01
2025-08-20 10:55:00,17398.11,17389.11,17403.79,17388.31,-0.05,-9.2,387557,270663311.0,0.09,0.01
2025-08-20 11:00:00,17390.98,17386.63,17395.56,17383.4,-0.01,-2.48,522600,333415850.0,0.07,0.01
2025-08-20 11:05:00,17387.6,17378.47,17388.84,17370.26,-0.05,-8.16,1394940,482297020.0,0.11,0.04
2025-08-20 11:10:00,17377.77,17375.66,17384.76,17373.58,-0.02,-2.81,389460,213731193.0,0.06,0.01
2025-08-20 11:15:00,17377.96,17373.54,17382.38,17372.98,-0.01,-2.12,412492,237294839.0,0.05,0.01
2025-08-20 11:20:00,17376.96,17357.35,17381.15,17352.34,-0.09,-16.19,534773,382390910.0,0.17,0.01
2025-08-20 11:25:00,17355.69,17343.41,17365.88,17343.41,-0.08,-13.94,357408,258610647.0,0.13,0.01
2025-08-20 11:30:00,17343.68,17344.81,17346.65,17321.28,0.01,1.4,887330,533381295.0,0.15,0.02
2025-08-20 13:05:00,17344.81,17344.2,17356.03,17342.69,0.0,-0.61,490424,361574893.0,0.08,0.01
2025-08-20 13:10:00,17344.13,17336.47,17347.05,17331.63,-0.04,-7.73,326755,233342949.0,0.09,0.01
2025-08-20 13:15:00,17337.0,17353.56,17362.74,17334.12,0.1,17.09,499018,308219510.0,0.17,0.01
2025-08-20 13:20:00,17355.69,17354.81,17361.13,17348.65,0.01,1.25,371294,219583352.0,0.07,0.01
2025-08-20 13:25:00,17357.51,17366.81,17368.39,17357.51,0.07,12.0,419202,264656073.0,0.06,0.01
2025-08-20 13:30:00,17366.09,17366.6,17370.04,17360.11,0.0,-0.21,384239,241934534.0,0.06,0.01
2025-08-20 13:35:00,17368.02,17366.23,17370.98,17358.19,0.0,-0.37,358730,221446138.0,0.07,0.01
2025-08-20 13:40:00,17365.82,17373.34,17376.52,17365.82,0.04,7.11,457943,270739942.0,0.06,0.01
2025-08-20 13:45:00,17376.03,17374.77,17380.18,17370.89,0.01,1.43,330510,224090097.0,0.05,0.01
2025-08-20 13:50:00,17370.41,17378.25,17383.52,17369.04,0.02,3.48,325764,219777403.0,0.08,0.01
2025-08-20 13:55:00,17380.42,17385.45,17386.42,17377.12,0.04,7.2,425866,256708168.0,0.05,0.01
2025-08-20 14:00:00,17384.56,17383.86,17387.6,17374.19,-0.01,-1.59,352855,236483104.0,0.08,0.01
2025-08-20 14:05:00,17384.64,17411.13,17412.52,17383.7,0.16,27.27,866249,400107974.0,0.17,0.02
2025-08-20 14:10:00,17409.68,17414.31,17417.48,17406.37,0.02,3.18,429476,280790454.0,0.06,0.01
2025-08-20 14:15:00,17411.96,17427.71,17427.71,17411.96,0.08,13.4,478325,302535756.0,0.09,0.01
2025-08-20 14:20:00,17426.82,17430.86,17435.79,17421.93,0.02,3.15,471098,314316039.0,0.08,0.01
2025-08-20 14:25:00,17431.64,17426.8,17432.87,17421.23,-0.02,-4.06,601551,378511851.0,0.07,0.02
2025-08-20 14:30:00,17425.32,17426.77,17431.65,17418.11,0.0,-0.03,458760,283860686.0,0.08,0.01
2025-08-20 14:35:00,17428.02,17435.64,17440.36,17428.02,0.05,8.87,424253,277771699.0,0.07,0.01
2025-08-20 14:40:00,17436.09,17434.84,17437.68,17424.58,0.0,-0.8,512065,330988018.0,0.08,0.01
2025-08-20 14:45:00,17434.78,17442.9,17447.03,17429.96,0.05,8.06,612559,402348662.0,0.1,0.02
2025-08-20 14:50:00,17443.78,17462.49,17463.08,17441.33,0.11,19.59,1080658,655168367.0,0.12,0.03
2025-08-20 14:55:00,17463.05,17468.28,17472.13,17458.14,0.03,5.79,1050249,635937650.0,0.08,0.03
2025-08-20 15:00:00,17468.78,17478.63,17478.63,17465.24,0.06,10.35,1296199,782820513.0,0.08,0.03
2025-08-21 09:35:00,17497.42,17598.94,17605.3,17490.55,0.69,120.31,4054686,2934301234.0,0.66,0.11
2025-08-21 09:40:00,17600.37,17637.01,17640.74,17600.37,0.22,38.07,3023062,2237440656.0,0.23,0.08
2025-08-21 09:45:00,17637.59,17599.74,17640.11,17595.89,-0.21,-37.27,2510747,1713171751.0,0.25,0.07
2025-08-21 09:50:00,17598.77,17601.47,17623.57,17598.77,0.01,1.73,1591651,1039968803.0,0.14,0.04
2025-08-21 09:55:00,17599.97,17595.31,17601.85,17589.61,-0.03,-6.16,1181069,920535657.0,0.07,0.03
2025-08-21 10:00:00,17595.0,17597.4,17600.71,17579.38,0.01,2.09,1106113,903973872.0,0.12,0.03
2025-08-21 10:05:00,17595.44,17618.5,17627.32,17591.79,0.12,21.1,1578900,1107437799.0,0.2,0.04
2025-08-21 10:10:00,17617.59,17631.47,17635.63,17614.95,0.07,12.97,1178747,830080965.0,0.12,0.03
2025-08-21 10:15:00,17630.71,17637.69,17640.37,17624.55,0.04,6.22,1574546,773021865.0,0.09,0.04
2025-08-21 10:20:00,17634.65,17630.19,17638.85,17624.41,-0.04,-7.5,3445997,919005474.0,0.08,0.09
2025-08-21 10:25:00,17624.13,17628.57,17631.66,17619.82,-0.01,-1.62,683366,407211296.0,0.07,0.02
2025-08-21 10:30:00,17630.14,17638.5,17644.94,17623.12,0.06,9.93,1159032,719022300.0,0.12,0.03
2025-08-21 10:35:00,17639.85,17641.21,17645.46,17629.44,0.02,2.71,699706,466786154.0,0.09,0.02
2025-08-21 10:40:00,17641.11,17639.99,17646.7,17633.67,-0.01,-1.22,580598,404504086.0,0.07,0.02
2025-08-21 10:45:00,17640.67,17645.18,17652.67,17639.77,0.03,5.19,824123,532672488.0,0.07,0.02
2025-08-21 10:50:00,17646.24,17651.64,17656.41,17644.54,0.04,6.46,567462,383026423.0,0.07,0.01
2025-08-21 10:55:00,17650.42,17648.77,17658.1,17643.49,-0.02,-2.87,487491,307946045.0,0.08,0.01
2025-08-21 11:00:00,17649.65,17648.66,17654.29,17645.25,0.0,-0.11,381646,267703522.0,0.05,0.01
2025-08-21 11:05:00,17650.37,17645.76,17650.37,17638.56,-0.02,-2.9,648103,372425441.0,0.07,0.02
2025-08-21 11:10:00,17643.2,17650.12,17650.34,17638.45,0.02,4.36,911839,396283072.0,0.07,0.02
2025-08-21 11:15:00,17649.07,17652.14,17663.61,17647.37,0.01,2.02,620933,364798847.0,0.09,0.02
2025-08-21 11:20:00,17651.83,17650.06,17655.93,17641.26,-0.01,-2.08,568108,375637174.0,0.08,0.01
2025-08-21 11:25:00,17646.4,17648.23,17650.87,17630.59,-0.01,-1.83,717924,473293359.0,0.11,0.02
2025-08-21 11:30:00,17646.55,17673.44,17676.85,17646.55,0.14,25.21,651201,387400637.0,0.17,0.02
2025-08-21 13:05:00,17673.44,17672.62,17685.17,17669.32,0.0,-0.82,934771,612935895.0,0.09,0.02
2025-08-21 13:10:00,17671.26,17664.58,17672.62,17659.61,-0.05,-8.04,459976,314678186.0,0.07,0.01
2025-08-21 13:15:00,17665.54,17673.08,17677.2,17665.54,0.05,8.5,526775,334895818.0,0.07,0.01
2025-08-21 13:20:00,17673.94,17684.32,17684.32,17666.68,0.06,11.24,565284,369357784.0,0.1,0.01
2025-08-21 13:25:00,17683.44,17684.09,17690.73,17679.71,0.0,-0.23,720857,434278155.0,0.06,0.02
2025-08-21 13:30:00,17680.22,17672.77,17686.2,17668.18,-0.06,-11.32,687029,415560821.0,0.1,0.02
2025-08-21 13:35:00,17671.87,17667.16,17677.63,17662.18,-0.03,-5.61,663795,426859790.0,0.09,0.02
2025-08-21 13:40:00,17667.13,17676.29,17680.36,17665.97,0.05,9.13,691823,447161272.0,0.08,0.02
2025-08-21 13:45:00,17677.91,17686.56,17691.55,17674.29,0.06,10.27,875994,667353915.0,0.1,0.02
2025-08-21 13:50:00,17685.43,17679.33,17694.64,17679.33,-0.04,-7.23,646698,463667361.0,0.09,0.02
2025-08-21 13:55:00,17679.81,17664.56,17680.04,17656.19,-0.08,-14.77,669663,436300031.0,0.13,0.02
2025-08-21 14:00:00,17666.09,17662.47,17666.77,17655.31,-0.01,-2.09,467035,307768068.0,0.06,0.01
2025-08-21 14:05:00,17661.82,17656.01,17669.49,17650.41,-0.04,-6.46,566978,366227417.0,0.11,0.01
2025-08-21 14:10:00,17654.29,17652.14,17661.13,17648.61,-0.02,-3.87,419443,284799918.0,0.07,0.01
2025-08-21 14:15:00,17652.36,17653.9,17661.77,17650.48,0.01,1.76,441078,313681411.0,0.06,0.01
2025-08-21 14:20:00,17655.56,17664.76,17669.4,17655.49,0.06,10.86,521042,338533271.0,0.08,0.01
2025-08-21 14:25:00,17664.58,17644.12,17669.39,17638.46,-0.12,-20.64,769603,543838483.0,0.18,0.02
2025-08-21 14:30:00,17641.79,17634.1,17642.35,17618.66,-0.06,-10.02,841719,578915752.0,0.13,0.02
2025-08-21 14:35:00,17632.83,17615.83,17641.9,17615.72,-0.1,-18.27,702209,475019334.0,0.15,0.02
2025-08-21 14:40:00,17611.5,17616.67,17621.1,17604.6,0.0,0.84,821910,531194418.0,0.09,0.02
2025-08-21 14:45:00,17613.84,17627.33,17633.4,17612.42,0.06,10.66,855192,592582691.0,0.12,0.02
2025-08-21 14:50:00,17627.16,17635.47,17636.9,17623.77,0.05,8.14,897563,609569455.0,0.07,0.02
2025-08-21 14:55:00,17636.49,17654.8,17659.08,17634.93,0.11,19.33,1245430,841057831.0,0.14,0.03
2025-08-21 15:00:00,17655.22,17669.67,17669.69,17654.57,0.08,14.87,1281868,820515834.0,0.09,0.03
2025-08-22 09:35:00,17719.95,17618.86,17733.62,17618.86,-0.29,-50.81,3664699,2629261883.0,0.65,0.1
2025-08-22 09:40:00,17625.28,17618.83,17649.67,17606.97,0.0,-0.03,2376688,1479542745.0,0.24,0.06
2025-08-22 09:45:00,17618.33,17631.36,17631.36,17599.74,0.07,12.53,1736192,1157205012.0,0.18,0.05
2025-08-22 09:50:00,17631.12,17611.57,17642.61,17611.57,-0.11,-19.79,1574182,1018823321.0,0.18,0.04
2025-08-22 09:55:00,17610.35,17602.84,17619.63,17601.22,-0.05,-8.73,1283846,871683160.0,0.1,0.03
2025-08-22 10:00:00,17603.29,17595.99,17605.69,17591.93,-0.04,-6.85,963123,605638503.0,0.08,0.03
2025-08-22 10:05:00,17595.2,17576.75,17599.15,17575.18,-0.11,-19.24,917956,602297122.0,0.14,0.02
2025-08-22 10:10:00,17578.64,17558.47,17579.04,17558.47,-0.1,-18.28,920335,646192569.0,0.12,0.02
2025-08-22 10:15:00,17556.61,17554.21,17559.27,17545.73,-0.02,-4.26,1622036,756237012.0,0.08,0.04
2025-08-22 10:20:00,17555.48,17549.67,17558.13,17542.16,-0.03,-4.54,808136,568225318.0,0.09,0.02
2025-08-22 10:25:00,17552.07,17536.81,17552.07,17536.81,-0.07,-12.86,623711,424059856.0,0.09,0.02
2025-08-22 10:30:00,17539.96,17528.41,17544.39,17524.1,-0.05,-8.4,794815,560866964.0,0.12,0.02
2025-08-22 10:35:00,17529.09,17539.12,17546.14,17529.09,0.06,10.71,640877,447219217.0,0.1,0.02
2025-08-22 10:40:00,17538.48,17536.19,17540.61,17528.84,-0.02,-2.93,634693,442600008.0,0.07,0.02
2025-08-22 10:45:00,17537.87,17542.27,17544.03,17535.26,0.03,6.08,808902,387309352.0,0.05,0.02
2025-08-22 10:50:00,17542.14,17555.14,17558.69,17541.03,0.07,12.87,717519,371822075.0,0.1,0.02
2025-08-22 10:55:00,17554.57,17569.24,17572.53,17551.57,0.08,14.1,499304,323096869.0,0.12,0.01
2025-08-22 11:00:00,17567.33,17558.26,17574.03,17556.33,-0.06,-10.98,579471,350097056.0,0.1,0.02
2025-08-22 11:05:00,17561.92,17568.27,17569.23,17556.32,0.06,10.01,583954,362783717.0,0.07,0.02
2025-08-22 11:10:00,17568.0,17593.63,17594.48,17564.54,0.14,25.36,1203201,434153925.0,0.17,0.03
2025-08-22 11:15:00,17590.41,17580.53,17592.65,17573.9,-0.07,-13.1,633736,298346153.0,0.11,0.02
2025-08-22 11:20:00,17577.24,17581.02,17581.02,17568.0,0.0,0.49,424724,301301790.0,0.07,0.01
2025-08-22 11:25:00,17580.13,17575.06,17580.99,17570.74,-0.03,-5.96,398628,267481889.0,0.06,0.01
2025-08-22 11:30:00,17571.92,17578.26,17578.62,17563.13,0.02,3.2,297180,198399063.0,0.09,0.01
2025-08-22 13:05:00,17578.26,17582.01,17594.91,17576.38,0.02,3.75,1027142,646291043.0,0.11,0.03
2025-08-22 13:10:00,17582.39,17569.47,17586.26,17569.47,-0.07,-12.54,492819,344837492.0,0.1,0.01
2025-08-22 13:15:00,17568.9,17578.93,17579.54,17566.81,0.05,9.46,448529,331986847.0,0.07,0.01
2025-08-22 13:20:00,17576.19,17565.62,17577.6,17560.59,-0.08,-13.31,653627,437724906.0,0.1,0.02
2025-08-22 13:25:00,17566.63,17575.29,17578.41,17563.12,0.06,9.67,742892,474731780.0,0.09,0.02
2025-08-22 13:30:00,17574.78,17588.76,17593.2,17573.31,0.08,13.47,412369,276833013.0,0.11,0.01
2025-08-22 13:35:00,17591.81,17601.62,17604.6,17584.87,0.07,12.86,494313,325320829.0,0.11,0.01
2025-08-22 13:40:00,17602.12,17601.97,17605.98,17593.62,0.0,0.35,436564,316615414.0,0.07,0.01
2025-08-22 13:45:00,17602.25,17604.33,17611.1,17598.33,0.01,2.36,472112,334921429.0,0.07,0.01
2025-08-22 13:50:00,17605.59,17609.0,17611.39,17598.89,0.03,4.67,510679,358773030.0,0.07,0.01
2025-08-22 13:55:00,17607.47,17618.3,17624.01,17607.47,0.05,9.3,614497,431379793.0,0.09,0.02
2025-08-22 14:00:00,17621.25,17623.22,17626.98,17615.47,0.03,4.92,649775,390060826.0,0.07,0.02
2025-08-22 14:05:00,17623.63,17633.19,17639.62,17622.88,0.06,9.97,622578,396751621.0,0.09,0.02
2025-08-22 14:10:00,17635.09,17643.14,17649.34,17633.08,0.06,9.95,509397,337689010.0,0.09,0.01
2025-08-22 14:15:00,17643.1,17654.88,17659.78,17639.98,0.07,11.74,1304317,554465277.0,0.11,0.03
2025-08-22 14:20:00,17651.39,17659.29,17662.78,17649.42,0.02,4.41,582315,379551091.0,0.08,0.02
2025-08-22 14:25:00,17657.16,17668.7,17670.52,17651.15,0.05,9.41,607145,384559132.0,0.11,0.02
2025-08-22 14:30:00,17669.06,17674.89,17678.42,17657.48,0.04,6.19,702148,442933720.0,0.12,0.02
2025-08-22 14:35:00,17677.11,17684.54,17684.86,17670.38,0.05,9.65,756571,491772423.0,0.08,0.02
2025-08-22 14:40:00,17684.13,17687.91,17689.41,17676.75,0.02,3.37,690550,457731524.0,0.07,0.02
2025-08-22 14:45:00,17684.33,17686.64,17695.9,17681.78,-0.01,-1.27,1109625,660678165.0,0.08,0.03
2025-08-22 14:50:00,17689.03,17704.39,17707.08,17687.95,0.1,17.75,1123266,760553244.0,0.11,0.03
2025-08-22 14:55:00,17705.82,17711.0,17714.87,17698.85,0.04,6.61,1416567,954159203.0,0.09,0.04
2025-08-22 15:00:00,17711.93,17716.63,17716.63,17704.96,0.03,5.63,1445081,845321275.0,0.07,0.04
2025-08-25 09:35:00,17754.33,17692.0,17761.1,17683.41,-0.14,-24.63,5224277,3834367760.0,0.44,0.14
2025-08-25 09:40:00,17689.13,17765.87,17770.08,17688.24,0.42,73.87,4431755,2931588624.0,0.46,0.12
2025-08-25 09:45:00,17762.37,17769.65,17792.83,17762.37,0.02,3.78,2489644,1852352640.0,0.17,0.07
2025-08-25 09:50:00,17769.14,17799.34,17799.34,17764.14,0.17,29.69,2051596,1539245317.0,0.2,0.05
2025-08-25 09:55:00,17796.82,17802.5,17812.39,17790.42,0.02,3.16,3561656,1493487994.0,0.12,0.09
2025-08-25 10:00:00,17801.19,17807.4,17809.34,17789.56,0.03,4.9,2207580,999383211.0,0.11,0.06
2025-08-25 10:05:00,17802.82,17803.12,17809.66,17797.37,-0.02,-4.28,1403899,869391252.0,0.07,0.04
2025-08-25 10:10:00,17803.04,17801.3,17807.24,17792.97,-0.01,-1.82,1099615,799667852.0,0.08,0.03
2025-08-25 10:15:00,17795.74,17793.81,17802.84,17784.78,-0.04,-7.49,1097863,812623600.0,0.1,0.03
2025-08-25 10:20:00,17792.26,17799.46,17805.35,17790.94,0.03,5.65,1176845,878414682.0,0.08,0.03
2025-08-25 10:25:00,17798.68,17807.21,17811.61,17789.24,0.04,7.75,1389732,1030133183.0,0.13,0.04
2025-08-25 10:30:00,17808.05,17822.6,17822.6,17807.03,0.09,15.39,1101581,830050846.0,0.09,0.03
2025-08-25 10:35:00,17819.21,17816.47,17830.13,17810.16,-0.03,-6.13,1290087,784125841.0,0.11,0.03
2025-08-25 10:40:00,17814.94,17796.84,17818.1,17792.33,-0.11,-19.63,1320732,672148283.0,0.14,0.03
2025-08-25 10:45:00,17793.37,17802.72,17806.33,17792.17,0.03,5.88,1053357,610776640.0,0.08,0.03
2025-08-25 10:50:00,17801.58,17802.46,17807.12,17792.52,0.0,-0.26,861387,575800452.0,0.08,0.02
2025-08-25 10:55:00,17801.66,17810.46,17811.04,17796.77,0.04,8.0,680426,525860645.0,0.08,0.02
2025-08-25 11:00:00,17809.68,17820.35,17820.35,17802.95,0.06,9.89,843169,616752297.0,0.1,0.02
2025-08-25 11:05:00,17822.99,17817.21,17830.0,17816.09,-0.02,-3.14,1199980,879527039.0,0.08,0.03
2025-08-25 11:10:00,17818.1,17823.08,17828.1,17815.62,0.03,5.87,984819,728779873.0,0.07,0.03
2025-08-25 11:15:00,17820.55,17838.59,17842.93,17817.7,0.09,15.51,1305773,941476812.0,0.14,0.03
2025-08-25 11:20:00,17839.44,17817.75,17840.45,17814.47,-0.12,-20.84,1371162,918661977.0,0.15,0.04
2025-08-25 11:25:00,17817.77,17808.47,17817.77,17793.49,-0.05,-9.28,1212985,930979015.0,0.14,0.03
2025-08-25 11:30:00,17805.22,17808.99,17810.83,17786.01,0.0,0.52,1088628,762413876.0,0.14,0.03
2025-08-25 13:05:00,17808.99,17794.91,17816.64,17787.38,-0.08,-14.08,1695352,1173963423.0,0.16,0.04
2025-08-25 13:10:00,17791.8,17804.9,17805.81,17780.33,0.06,9.99,1041497,696927946.0,0.14,0.03
2025-08-25 13:15:00,17802.01,17801.5,17814.22,17795.95,-0.02,-3.4,949576,631966651.0,0.1,0.02
2025-08-25 13:20:00,17802.35,17789.09,17804.67,17781.06,-0.07,-12.41,1033532,684619986.0,0.13,0.03
2025-08-25 13:25:00,17788.49,17789.36,17796.88,17785.2,0.0,0.27,1127728,755854322.0,0.07,0.03
2025-08-25 13:30:00,17788.38,17776.6,17790.46,17769.18,-0.07,-12.76,892193,550737423.0,0.12,0.02
2025-08-25 13:35:00,17779.38,17770.27,17781.93,17767.13,-0.04,-6.33,815999,497820052.0,0.08,0.02
2025-08-25 13:40:00,17769.05,17756.68,17775.29,17755.37,-0.08,-13.59,704589,475508733.0,0.11,0.02
2025-08-25 13:45:00,17759.6,17763.77,17765.54,17749.8,0.04,7.09,585409,426085333.0,0.09,0.02
2025-08-25 13:50:00,17762.93,17772.7,17774.7,17749.63,0.05,8.93,525437,360341585.0,0.14,0.01
2025-08-25 13:55:00,17773.66,17779.15,17783.06,17768.98,0.04,6.45,581088,386210037.0,0.08,0.02
2025-08-25 14:00:00,17778.38,17777.24,17783.68,17772.02,-0.01,-1.91,454804,324023574.0,0.07,0.01
2025-08-25 14:05:00,17779.39,17767.99,17780.67,17761.2,-0.05,-9.25,627563,434201596.0,0.11,0.02
2025-08-25 14:10:00,17768.33,17775.76,17776.23,17762.1,0.04,7.77,413759,295511396.0,0.08,0.01
2025-08-25 14:15:00,17773.64,17780.26,17783.17,17772.86,0.03,4.5,442473,305824785.0,0.06,0.01
2025-08-25 14:20:00,17779.08,17794.78,17796.97,17779.08,0.08,14.52,585966,409277935.0,0.1,0.02
2025-08-25 14:25:00,17790.19,17795.79,17801.04,17789.48,0.01,1.01,505776,359204860.0,0.06,0.01
2025-08-25 14:30:00,17796.38,17805.31,17809.16,17793.08,0.05,9.52,685061,512560659.0,0.09,0.02
2025-08-25 14:35:00,17804.55,17802.1,17815.21,17801.82,-0.02,-3.21,693741,500879000.0,0.08,0.02
