日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,1150.15,1154.81,1155.56,1150.01,0.48,5.57,338706,514803451.0,0.48,0.13
2025-08-19 09:40:00,1154.78,1159.97,1159.97,1154.76,0.45,5.16,317941,485392909.0,0.45,0.12
2025-08-19 09:45:00,1159.94,1166.74,1167.05,1159.94,0.58,6.77,472967,608950865.0,0.61,0.18
2025-08-19 09:50:00,1166.57,1166.41,1167.75,1166.35,-0.03,-0.33,308275,438043378.0,0.12,0.12
2025-08-19 09:55:00,1166.43,1167.44,1167.51,1164.98,0.09,1.03,277134,517669695.0,0.22,0.11
2025-08-19 10:00:00,1167.53,1167.39,1169.09,1167.33,0.0,-0.05,209216,227502280.0,0.15,0.08
2025-08-19 10:05:00,1167.54,1163.54,1167.54,1163.54,-0.33,-3.85,133848,173184437.0,0.34,0.05
2025-08-19 10:10:00,1163.57,1165.78,1166.49,1162.55,0.19,2.24,196347,214361261.0,0.34,0.08
2025-08-19 10:15:00,1165.55,1165.77,1166.06,1164.48,0.0,-0.01,100466,119378717.0,0.14,0.04
2025-08-19 10:20:00,1165.77,1164.63,1165.83,1164.33,-0.1,-1.14,101247,130134091.0,0.13,0.04
2025-08-19 10:25:00,1164.59,1164.88,1165.3,1164.41,0.02,0.25,82275,113331515.0,0.08,0.03
2025-08-19 10:30:00,1164.88,1166.26,1166.58,1164.76,0.12,1.38,88124,110901112.0,0.16,0.03
2025-08-19 10:35:00,1166.24,1168.37,1168.66,1166.24,0.18,2.11,77579,109039082.0,0.21,0.03
2025-08-19 10:40:00,1168.44,1168.35,1168.8,1167.65,0.0,-0.02,70994,92037041.0,0.1,0.03
2025-08-19 10:45:00,1168.55,1169.94,1170.39,1168.35,0.14,1.59,98503,124826936.0,0.17,0.04
2025-08-19 10:50:00,1169.76,1169.77,1169.95,1169.0,-0.01,-0.17,79581,94430200.0,0.08,0.03
2025-08-19 10:55:00,1169.78,1168.1,1170.0,1167.96,-0.14,-1.67,54774,62555265.0,0.17,0.02
2025-08-19 11:00:00,1168.19,1167.43,1168.19,1167.09,-0.06,-0.67,50192,57116868.0,0.09,0.02
2025-08-19 11:05:00,1167.38,1167.94,1168.21,1167.12,0.04,0.51,39264,46613753.0,0.09,0.02
2025-08-19 11:10:00,1168.01,1167.89,1168.26,1167.28,0.0,-0.05,44849,52821019.0,0.08,0.02
2025-08-19 11:15:00,1168.04,1167.95,1168.24,1167.56,0.01,0.06,43185,51006094.0,0.06,0.02
2025-08-19 11:20:00,1167.81,1167.93,1168.55,1167.79,0.0,-0.02,43077,50601179.0,0.07,0.02
2025-08-19 11:25:00,1167.76,1167.89,1168.44,1167.49,0.0,-0.04,42826,50728255.0,0.08,0.02
2025-08-19 11:30:00,1167.73,1167.34,1167.94,1167.0,-0.05,-0.55,50794,62481135.0,0.08,0.02
2025-08-19 13:05:00,1167.34,1167.03,1167.88,1166.03,-0.03,-0.31,103823,119738845.0,0.16,0.04
2025-08-19 13:10:00,1167.03,1166.78,1167.42,1166.67,-0.02,-0.25,35273,49897691.0,0.06,0.01
2025-08-19 13:15:00,1166.8,1166.57,1167.06,1166.16,-0.02,-0.21,49099,58979652.0,0.08,0.02
2025-08-19 13:20:00,1166.66,1166.55,1167.02,1166.09,0.0,-0.02,44259,57724877.0,0.08,0.02
2025-08-19 13:25:00,1166.57,1166.09,1166.88,1165.74,-0.04,-0.46,46696,55467083.0,0.1,0.02
2025-08-19 13:30:00,1165.84,1165.03,1166.04,1164.78,-0.09,-1.06,70547,72948306.0,0.11,0.03
2025-08-19 13:35:00,1165.03,1162.05,1165.1,1161.93,-0.26,-2.98,134523,255418086.0,0.27,0.05
2025-08-19 13:40:00,1162.06,1162.9,1163.07,1160.69,0.07,0.85,102536,193032239.0,0.2,0.04
2025-08-19 13:45:00,1162.73,1162.97,1163.12,1162.31,0.01,0.07,50657,89522866.0,0.07,0.02
2025-08-19 13:50:00,1162.97,1161.07,1162.97,1160.98,-0.16,-1.9,67627,100792106.0,0.17,0.03
2025-08-19 13:55:00,1161.03,1159.69,1161.22,1159.57,-0.12,-1.38,89043,139819419.0,0.14,0.03
2025-08-19 14:00:00,1159.81,1159.69,1160.84,1159.69,0.0,0.0,68826,97362463.0,0.1,0.03
2025-08-19 14:05:00,1159.65,1162.55,1162.6,1159.43,0.25,2.86,49154,77066813.0,0.27,0.02
2025-08-19 14:10:00,1162.49,1162.49,1163.17,1162.3,-0.01,-0.06,49556,69060537.0,0.07,0.02
2025-08-19 14:15:00,1162.36,1161.77,1162.53,1161.66,-0.06,-0.72,47980,65230019.0,0.07,0.02
2025-08-19 14:20:00,1162.01,1161.72,1162.76,1161.67,0.0,-0.05,45930,77369997.0,0.09,0.02
2025-08-19 14:25:00,1161.73,1160.47,1161.73,1160.34,-0.11,-1.25,64833,111629308.0,0.12,0.03
2025-08-19 14:30:00,1160.53,1160.53,1160.7,1159.7,0.01,0.06,70210,103865478.0,0.09,0.03
2025-08-19 14:35:00,1160.58,1162.37,1162.5,1160.58,0.16,1.84,55117,81296852.0,0.17,0.02
2025-08-19 14:40:00,1162.45,1162.01,1162.75,1161.8,-0.03,-0.36,52768,81797458.0,0.08,0.02
2025-08-19 14:45:00,1162.11,1162.4,1162.68,1161.81,0.03,0.39,85665,99754321.0,0.07,0.03
2025-08-19 14:50:00,1162.28,1163.09,1163.28,1162.09,0.06,0.69,94685,124915608.0,0.1,0.04
2025-08-19 14:55:00,1162.94,1162.61,1163.42,1162.2,-0.04,-0.48,121186,162758481.0,0.1,0.05
2025-08-19 15:00:00,1162.58,1163.03,1163.03,1162.28,0.04,0.42,132840,193055799.0,0.06,0.05
2025-08-20 09:35:00,1159.74,1155.82,1159.76,1151.9,-0.62,-7.21,338102,519130975.0,0.68,0.13
2025-08-20 09:40:00,1155.51,1159.78,1159.87,1153.86,0.34,3.96,191683,296869629.0,0.52,0.07
2025-08-20 09:45:00,1159.54,1160.1,1160.96,1158.64,0.03,0.32,158453,193478044.0,0.2,0.06
2025-08-20 09:50:00,1160.17,1161.45,1163.05,1160.17,0.12,1.35,135346,175299870.0,0.25,0.05
2025-08-20 09:55:00,1161.44,1159.33,1161.44,1159.33,-0.18,-2.12,107621,149246324.0,0.18,0.04
2025-08-20 10:00:00,1159.36,1158.67,1159.45,1157.83,-0.06,-0.66,89269,128076491.0,0.14,0.03
2025-08-20 10:05:00,1158.57,1156.77,1158.57,1156.03,-0.16,-1.9,112361,145203206.0,0.22,0.04
2025-08-20 10:10:00,1156.63,1156.78,1157.09,1155.79,0.0,0.01,72238,109154999.0,0.11,0.03
2025-08-20 10:15:00,1156.76,1155.92,1156.99,1155.75,-0.07,-0.86,83590,106837734.0,0.11,0.03
2025-08-20 10:20:00,1155.96,1155.97,1156.15,1154.86,0.0,0.05,66157,96310673.0,0.11,0.03
2025-08-20 10:25:00,1155.84,1153.69,1155.88,1153.5,-0.2,-2.28,89241,107354049.0,0.21,0.03
2025-08-20 10:30:00,1153.64,1154.18,1154.64,1153.41,0.04,0.49,68290,106137052.0,0.11,0.03
2025-08-20 10:35:00,1154.39,1155.69,1156.07,1154.27,0.13,1.51,68411,95214892.0,0.16,0.03
2025-08-20 10:40:00,1155.66,1156.63,1156.63,1155.5,0.08,0.94,50311,67343946.0,0.1,0.02
2025-08-20 10:45:00,1156.58,1156.98,1157.16,1156.34,0.03,0.35,55659,79042208.0,0.07,0.02
2025-08-20 10:50:00,1157.08,1157.85,1157.94,1156.42,0.08,0.87,53396,69897240.0,0.13,0.02
2025-08-20 10:55:00,1157.82,1156.91,1158.14,1156.83,-0.08,-0.94,48282,53124754.0,0.11,0.02
2025-08-20 11:00:00,1157.03,1156.07,1157.23,1155.87,-0.07,-0.84,44453,59222765.0,0.12,0.02
2025-08-20 11:05:00,1155.99,1155.05,1155.99,1154.41,-0.09,-1.02,45896,69655510.0,0.14,0.02
2025-08-20 11:10:00,1155.01,1154.67,1155.45,1154.41,-0.03,-0.38,38793,51773858.0,0.09,0.02
2025-08-20 11:15:00,1154.81,1155.08,1155.13,1154.38,0.04,0.41,61483,85633577.0,0.06,0.02
2025-08-20 11:20:00,1154.84,1153.29,1155.09,1152.9,-0.15,-1.79,69729,96139069.0,0.19,0.03
2025-08-20 11:25:00,1153.24,1152.24,1154.0,1152.24,-0.09,-1.05,74001,89896373.0,0.15,0.03
2025-08-20 11:30:00,1152.39,1152.38,1152.66,1150.14,0.01,0.14,149646,158095340.0,0.22,0.06
2025-08-20 13:05:00,1152.38,1152.43,1153.39,1152.06,0.0,0.05,51806,87057533.0,0.12,0.02
2025-08-20 13:10:00,1152.49,1151.32,1152.51,1150.93,-0.1,-1.11,52185,64716477.0,0.14,0.02
2025-08-20 13:15:00,1151.43,1153.24,1153.41,1151.34,0.17,1.92,36660,49840507.0,0.18,0.01
2025-08-20 13:20:00,1153.29,1153.28,1153.59,1152.7,0.0,0.04,28302,42230870.0,0.08,0.01
2025-08-20 13:25:00,1153.22,1153.61,1153.93,1153.13,0.03,0.33,35008,52436641.0,0.07,0.01
2025-08-20 13:30:00,1153.65,1154.13,1154.13,1153.11,0.05,0.52,30581,45102369.0,0.09,0.01
2025-08-20 13:35:00,1154.04,1153.89,1154.33,1153.47,-0.02,-0.24,31708,45850874.0,0.07,0.01
2025-08-20 13:40:00,1153.74,1154.54,1154.65,1153.74,0.06,0.65,35653,45398620.0,0.08,0.01
2025-08-20 13:45:00,1154.62,1153.78,1154.86,1153.69,-0.07,-0.76,32864,47503935.0,0.1,0.01
2025-08-20 13:50:00,1153.79,1154.95,1155.03,1153.32,0.1,1.17,47176,55087508.0,0.15,0.02
2025-08-20 13:55:00,1154.96,1154.94,1155.06,1154.59,0.0,-0.01,25170,36803183.0,0.04,0.01
2025-08-20 14:00:00,1155.04,1155.24,1155.3,1153.91,0.03,0.3,40463,57283733.0,0.12,0.02
2025-08-20 14:05:00,1155.17,1157.48,1157.68,1155.15,0.19,2.24,64638,77961698.0,0.22,0.03
2025-08-20 14:10:00,1157.5,1156.87,1157.71,1156.87,-0.05,-0.61,54051,68058754.0,0.07,0.02
2025-08-20 14:15:00,1156.89,1157.55,1157.58,1156.78,0.06,0.68,43960,58958087.0,0.07,0.02
2025-08-20 14:20:00,1157.55,1157.84,1158.92,1157.55,0.03,0.29,56943,78441527.0,0.12,0.02
2025-08-20 14:25:00,1157.81,1158.01,1158.11,1157.09,0.01,0.17,49858,69136122.0,0.09,0.02
2025-08-20 14:30:00,1157.94,1158.13,1158.67,1157.46,0.01,0.12,83867,103990113.0,0.1,0.03
2025-08-20 14:35:00,1158.21,1158.37,1158.91,1158.14,0.02,0.24,75662,120690337.0,0.07,0.03
2025-08-20 14:40:00,1158.39,1158.28,1158.78,1157.51,-0.01,-0.09,76509,96109745.0,0.11,0.03
2025-08-20 14:45:00,1158.35,1158.37,1158.7,1157.79,0.01,0.09,92232,124107380.0,0.08,0.04
2025-08-20 14:50:00,1158.51,1159.66,1160.18,1158.29,0.11,1.29,106897,138932835.0,0.16,0.04
2025-08-20 14:55:00,1159.87,1160.14,1160.47,1159.48,0.04,0.48,130716,175370685.0,0.09,0.05
2025-08-20 15:00:00,1160.35,1161.12,1161.12,1160.01,0.08,0.98,147009,198622946.0,0.1,0.06
2025-08-21 09:35:00,1161.08,1163.35,1165.48,1160.9,0.19,2.23,307611,417949282.0,0.39,0.12
2025-08-21 09:40:00,1163.25,1161.6,1163.25,1161.27,-0.15,-1.75,187875,252090485.0,0.17,0.07
2025-08-21 09:45:00,1161.67,1159.3,1161.96,1158.95,-0.2,-2.3,140498,189853409.0,0.26,0.05
2025-08-21 09:50:00,1159.15,1162.06,1162.76,1159.11,0.24,2.76,194557,212214063.0,0.31,0.08
2025-08-21 09:55:00,1162.18,1162.09,1163.33,1161.13,0.0,0.03,131703,168483133.0,0.19,0.05
2025-08-21 10:00:00,1162.2,1160.54,1162.23,1160.54,-0.13,-1.55,98730,152271166.0,0.15,0.04
2025-08-21 10:05:00,1160.63,1159.91,1161.71,1159.8,-0.05,-0.63,123278,141040743.0,0.16,0.05
2025-08-21 10:10:00,1159.82,1163.07,1163.69,1159.82,0.27,3.16,115054,152237745.0,0.33,0.04
2025-08-21 10:15:00,1162.89,1163.89,1164.06,1162.47,0.07,0.82,88132,117581972.0,0.14,0.03
2025-08-21 10:20:00,1163.94,1163.41,1163.94,1162.69,-0.04,-0.48,67268,99137990.0,0.11,0.03
2025-08-21 10:25:00,1163.29,1163.42,1163.79,1163.06,0.0,0.01,58863,82153392.0,0.06,0.02
2025-08-21 10:30:00,1163.45,1162.85,1164.22,1162.71,-0.05,-0.57,83033,105032535.0,0.13,0.03
2025-08-21 10:35:00,1162.65,1162.91,1163.29,1162.37,0.01,0.06,59068,81778535.0,0.08,0.02
2025-08-21 10:40:00,1162.95,1163.93,1163.97,1162.71,0.09,1.02,84589,119514241.0,0.11,0.03
2025-08-21 10:45:00,1163.78,1162.42,1163.82,1162.08,-0.13,-1.51,65776,100504945.0,0.15,0.03
2025-08-21 10:50:00,1162.41,1162.51,1162.84,1162.18,0.01,0.09,38122,60755127.0,0.06,0.01
2025-08-21 10:55:00,1162.52,1163.34,1163.48,1162.38,0.07,0.83,34767,47758429.0,0.09,0.01
2025-08-21 11:00:00,1163.38,1163.31,1163.49,1162.76,0.0,-0.03,35736,47548554.0,0.06,0.01
2025-08-21 11:05:00,1163.17,1163.18,1163.7,1162.43,-0.01,-0.13,50780,67485793.0,0.11,0.02
2025-08-21 11:10:00,1163.18,1162.14,1163.2,1162.12,-0.09,-1.04,60350,69273966.0,0.09,0.02
2025-08-21 11:15:00,1162.25,1161.78,1162.46,1161.61,-0.03,-0.36,36810,60271369.0,0.07,0.01
2025-08-21 11:20:00,1161.74,1161.23,1162.1,1161.03,-0.05,-0.55,44195,61713984.0,0.09,0.02
2025-08-21 11:25:00,1161.34,1160.75,1161.34,1159.54,-0.04,-0.48,80817,107663953.0,0.16,0.03
2025-08-21 11:30:00,1160.49,1160.95,1161.42,1160.39,0.02,0.2,30899,39214219.0,0.09,0.01
2025-08-21 13:05:00,1160.95,1161.99,1162.21,1160.83,0.09,1.04,77037,83582006.0,0.12,0.03
2025-08-21 13:10:00,1161.98,1162.26,1162.4,1161.59,0.02,0.27,36331,53495487.0,0.07,0.01
2025-08-21 13:15:00,1162.08,1162.68,1163.12,1161.93,0.04,0.42,63877,61186225.0,0.1,0.02
2025-08-21 13:20:00,1162.87,1163.1,1163.14,1162.29,0.04,0.42,39627,44529887.0,0.07,0.02
2025-08-21 13:25:00,1163.18,1163.27,1163.57,1162.84,0.01,0.17,34471,42297877.0,0.06,0.01
2025-08-21 13:30:00,1163.19,1162.31,1163.61,1162.26,-0.08,-0.96,44246,60256725.0,0.12,0.02
2025-08-21 13:35:00,1162.33,1161.45,1162.49,1161.04,-0.07,-0.86,59578,59382655.0,0.12,0.02
2025-08-21 13:40:00,1161.36,1161.77,1162.14,1161.03,0.03,0.32,49240,47433817.0,0.1,0.02
2025-08-21 13:45:00,1161.96,1161.53,1161.96,1160.73,-0.02,-0.24,61465,82786377.0,0.11,0.02
2025-08-21 13:50:00,1161.58,1161.12,1162.04,1161.12,-0.04,-0.41,44215,49282354.0,0.08,0.02
2025-08-21 13:55:00,1161.09,1160.53,1161.51,1160.43,-0.05,-0.59,48377,65935456.0,0.09,0.02
2025-08-21 14:00:00,1160.68,1160.84,1161.22,1160.41,0.03,0.31,47705,48601936.0,0.07,0.02
2025-08-21 14:05:00,1160.84,1160.22,1161.2,1159.94,-0.05,-0.62,57618,77069265.0,0.11,0.02
2025-08-21 14:10:00,1160.08,1160.33,1161.22,1160.08,0.01,0.11,63910,76770550.0,0.1,0.02
2025-08-21 14:15:00,1160.28,1160.28,1160.93,1160.06,0.0,-0.05,51037,63416350.0,0.07,0.02
2025-08-21 14:20:00,1160.53,1160.89,1161.37,1160.33,0.05,0.61,55484,67034676.0,0.09,0.02
2025-08-21 14:25:00,1160.86,1157.84,1161.03,1157.84,-0.26,-3.05,105206,114895628.0,0.27,0.04
2025-08-21 14:30:00,1157.79,1157.67,1157.84,1155.99,-0.01,-0.17,111830,141073961.0,0.16,0.04
2025-08-21 14:35:00,1157.54,1155.37,1158.28,1155.37,-0.2,-2.3,100111,129690160.0,0.25,0.04
2025-08-21 14:40:00,1155.47,1154.98,1156.02,1154.29,-0.03,-0.39,120523,129955834.0,0.15,0.05
2025-08-21 14:45:00,1154.88,1156.38,1156.65,1154.72,0.12,1.4,79173,92927611.0,0.17,0.03
2025-08-21 14:50:00,1156.39,1157.44,1157.66,1155.88,0.09,1.06,67342,98376211.0,0.15,0.03
2025-08-21 14:55:00,1157.31,1158.7,1158.93,1157.19,0.11,1.26,90947,120334195.0,0.15,0.04
2025-08-21 15:00:00,1158.65,1158.9,1159.27,1158.65,0.02,0.2,86460,120604177.0,0.05,0.03
2025-08-22 09:35:00,1159.73,1154.47,1160.15,1153.74,-0.38,-4.43,244404,300343483.0,0.55,0.09
2025-08-22 09:40:00,1154.25,1152.86,1155.2,1152.79,-0.14,-1.61,176493,190540893.0,0.21,0.07
2025-08-22 09:45:00,1152.8,1152.56,1152.81,1150.57,-0.03,-0.3,171717,190213190.0,0.19,0.07
2025-08-22 09:50:00,1152.33,1151.78,1152.86,1150.84,-0.07,-0.78,132748,163611412.0,0.18,0.05
2025-08-22 09:55:00,1152.0,1150.6,1152.52,1150.48,-0.1,-1.18,120760,149529792.0,0.18,0.05
2025-08-22 10:00:00,1150.43,1150.58,1151.07,1150.11,0.0,-0.02,93645,110189042.0,0.08,0.04
2025-08-22 10:05:00,1150.64,1150.26,1151.59,1149.58,-0.03,-0.32,123810,126365412.0,0.17,0.05
2025-08-22 10:10:00,1150.32,1147.79,1150.32,1147.67,-0.21,-2.47,158176,160059121.0,0.23,0.06
2025-08-22 10:15:00,1147.94,1146.64,1147.94,1146.37,-0.1,-1.15,160607,169461112.0,0.14,0.06
2025-08-22 10:20:00,1146.64,1147.28,1147.28,1145.5,0.06,0.64,91458,118394173.0,0.16,0.04
2025-08-22 10:25:00,1147.32,1145.74,1147.32,1145.45,-0.13,-1.54,81008,84849066.0,0.16,0.03
2025-08-22 10:30:00,1145.73,1145.4,1146.03,1144.69,-0.03,-0.34,78546,95014347.0,0.12,0.03
2025-08-22 10:35:00,1145.26,1145.61,1146.56,1145.26,0.02,0.21,60671,71540526.0,0.11,0.02
2025-08-22 10:40:00,1145.79,1145.88,1145.92,1144.92,0.02,0.27,79152,80083037.0,0.09,0.03
2025-08-22 10:45:00,1145.89,1146.92,1146.96,1145.89,0.09,1.04,53830,66964951.0,0.09,0.02
2025-08-22 10:50:00,1146.93,1148.59,1149.02,1146.93,0.15,1.67,70504,78622279.0,0.18,0.03
2025-08-22 10:55:00,1148.58,1149.29,1149.89,1148.17,0.06,0.7,65848,94427062.0,0.15,0.03
2025-08-22 11:00:00,1149.35,1149.06,1149.56,1148.46,-0.02,-0.23,47136,66651205.0,0.1,0.02
2025-08-22 11:05:00,1149.01,1148.29,1149.6,1147.95,-0.07,-0.77,42501,53323263.0,0.14,0.02
2025-08-22 11:10:00,1148.18,1148.57,1148.84,1147.59,0.02,0.28,43310,51435974.0,0.11,0.02
2025-08-22 11:15:00,1148.35,1149.12,1149.12,1148.19,0.05,0.55,33900,41667454.0,0.08,0.01
2025-08-22 11:20:00,1148.97,1148.43,1149.06,1148.07,-0.06,-0.69,37460,46913406.0,0.09,0.01
2025-08-22 11:25:00,1148.47,1148.17,1148.51,1147.62,-0.02,-0.26,43733,45011818.0,0.08,0.02
2025-08-22 11:30:00,1148.29,1148.47,1148.47,1147.3,0.03,0.3,46510,53168105.0,0.1,0.02
2025-08-22 13:05:00,1148.47,1150.05,1150.29,1148.43,0.14,1.58,81534,137396477.0,0.16,0.03
2025-08-22 13:10:00,1150.07,1149.66,1150.23,1149.2,-0.03,-0.39,102368,202822907.0,0.09,0.04
2025-08-22 13:15:00,1149.79,1150.99,1151.29,1149.79,0.12,1.33,79273,178189735.0,0.13,0.03
2025-08-22 13:20:00,1151.13,1149.93,1151.96,1149.87,-0.09,-1.06,88310,164121825.0,0.18,0.03
2025-08-22 13:25:00,1149.93,1149.96,1150.31,1149.4,0.0,0.03,71822,111724239.0,0.08,0.03
2025-08-22 13:30:00,1150.03,1151.07,1152.06,1150.03,0.1,1.11,55659,92716126.0,0.18,0.02
2025-08-22 13:35:00,1151.03,1152.64,1152.98,1150.8,0.14,1.57,63112,116980242.0,0.19,0.02
2025-08-22 13:40:00,1152.44,1152.82,1153.17,1151.94,0.02,0.18,68894,117299778.0,0.11,0.03
2025-08-22 13:45:00,1153.1,1153.07,1153.63,1152.79,0.02,0.25,66753,124567146.0,0.07,0.03
2025-08-22 13:50:00,1153.2,1153.08,1153.51,1152.32,0.0,0.01,60184,85557753.0,0.1,0.02
2025-08-22 13:55:00,1152.94,1153.45,1154.42,1152.94,0.03,0.37,49643,82223085.0,0.13,0.02
2025-08-22 14:00:00,1153.52,1153.7,1154.13,1153.32,0.02,0.25,46576,78486056.0,0.07,0.02
2025-08-22 14:05:00,1153.67,1154.93,1155.2,1153.67,0.11,1.23,71245,133965317.0,0.13,0.03
2025-08-22 14:10:00,1155.11,1155.99,1156.04,1154.84,0.09,1.06,63037,93248254.0,0.1,0.02
2025-08-22 14:15:00,1156.14,1155.89,1156.92,1155.81,-0.01,-0.1,59643,97896942.0,0.1,0.02
2025-08-22 14:20:00,1155.71,1157.1,1157.39,1155.68,0.1,1.21,118349,289054766.0,0.15,0.05
2025-08-22 14:25:00,1156.97,1157.89,1157.94,1156.08,0.07,0.79,99486,213533316.0,0.16,0.04
2025-08-22 14:30:00,1157.71,1158.0,1158.32,1157.35,0.01,0.11,82508,135130254.0,0.08,0.03
2025-08-22 14:35:00,1157.84,1158.34,1158.63,1157.65,0.03,0.34,68102,85045268.0,0.08,0.03
2025-08-22 14:40:00,1158.3,1158.16,1158.53,1157.63,-0.02,-0.18,72557,91436851.0,0.08,0.03
2025-08-22 14:45:00,1158.09,1157.54,1158.27,1157.35,-0.05,-0.62,70083,90737354.0,0.08,0.03
2025-08-22 14:50:00,1157.59,1158.32,1158.38,1157.15,0.07,0.78,91195,116320881.0,0.11,0.04
2025-08-22 14:55:00,1158.1,1158.07,1158.41,1157.75,-0.02,-0.25,123907,143098084.0,0.06,0.05
2025-08-22 15:00:00,1157.99,1158.1,1158.32,1157.55,0.0,0.03,103550,115942185.0,0.07,0.04
2025-08-25 09:35:00,1160.01,1157.89,1162.21,1157.83,-0.02,-0.21,438864,816650014.0,0.38,0.17
2025-08-25 09:40:00,1157.86,1160.18,1160.68,1156.29,0.2,2.29,262426,493091949.0,0.38,0.1
2025-08-25 09:45:00,1160.02,1161.03,1161.56,1159.78,0.07,0.85,183535,312167098.0,0.15,0.07
2025-08-25 09:50:00,1161.06,1162.21,1162.36,1160.78,0.1,1.18,141329,176344504.0,0.14,0.05
2025-08-25 09:55:00,1162.24,1164.82,1164.9,1162.24,0.22,2.61,232359,209030805.0,0.23,0.09
2025-08-25 10:00:00,1164.53,1165.69,1166.0,1163.58,0.07,0.87,185809,164964077.0,0.21,0.07
2025-08-25 10:05:00,1165.79,1165.32,1166.18,1165.32,-0.03,-0.37,121235,144538370.0,0.07,0.05
2025-08-25 10:10:00,1165.35,1166.53,1166.55,1165.1,0.1,1.21,222631,165453173.0,0.12,0.09
2025-08-25 10:15:00,1166.38,1168.74,1168.91,1166.38,0.19,2.21,336420,191545852.0,0.22,0.13
2025-08-25 10:20:00,1168.68,1167.31,1168.81,1166.83,-0.12,-1.43,178447,182656326.0,0.17,0.07
2025-08-25 10:25:00,1167.07,1167.19,1167.74,1166.68,-0.01,-0.12,130161,149362283.0,0.09,0.05
2025-08-25 10:30:00,1167.21,1167.38,1167.45,1165.8,0.02,0.19,172556,374818041.0,0.14,0.07
2025-08-25 10:35:00,1167.3,1167.19,1167.76,1166.62,-0.02,-0.19,143418,304146915.0,0.1,0.06
2025-08-25 10:40:00,1167.24,1165.39,1167.44,1165.39,-0.15,-1.8,102061,103490576.0,0.18,0.04
2025-08-25 10:45:00,1165.56,1166.08,1166.32,1165.12,0.06,0.69,75198,82576142.0,0.1,0.03
2025-08-25 10:50:00,1166.16,1165.9,1166.21,1165.28,-0.02,-0.18,56234,68753033.0,0.08,0.02
2025-08-25 10:55:00,1165.74,1165.54,1166.16,1165.45,-0.03,-0.36,41055,57307598.0,0.06,0.02
2025-08-25 11:00:00,1165.35,1166.3,1166.33,1165.35,0.07,0.76,53282,64795799.0,0.08,0.02
2025-08-25 11:05:00,1166.35,1165.81,1166.54,1165.36,-0.04,-0.49,59623,80856734.0,0.1,0.02
2025-08-25 11:10:00,1165.74,1165.53,1166.27,1165.28,-0.02,-0.28,51128,58861161.0,0.08,0.02
2025-08-25 11:15:00,1165.48,1165.58,1165.97,1165.22,0.0,0.05,51263,69653412.0,0.06,0.02
2025-08-25 11:20:00,1165.75,1164.66,1166.24,1164.66,-0.08,-0.92,76144,88387727.0,0.14,0.03
2025-08-25 11:25:00,1164.75,1163.47,1164.85,1163.21,-0.1,-1.19,99970,112495585.0,0.14,0.04
2025-08-25 11:30:00,1163.44,1162.93,1163.77,1161.65,-0.05,-0.54,137836,127066899.0,0.18,0.05
2025-08-25 13:05:00,1162.93,1162.04,1163.82,1161.39,-0.08,-0.89,120571,142757254.0,0.21,0.05
2025-08-25 13:10:00,1162.02,1162.85,1163.14,1161.69,0.07,0.81,75591,73684850.0,0.12,0.03
2025-08-25 13:15:00,1162.97,1162.44,1163.27,1162.38,-0.04,-0.41,56329,73957527.0,0.08,0.02
2025-08-25 13:20:00,1162.29,1160.64,1162.29,1160.08,-0.15,-1.8,112377,133576213.0,0.19,0.04
2025-08-25 13:25:00,1160.57,1160.23,1161.06,1159.89,-0.04,-0.41,66014,81431432.0,0.1,0.03
2025-08-25 13:30:00,1160.21,1160.33,1160.63,1159.7,0.01,0.1,60897,69566849.0,0.08,0.02
2025-08-25 13:35:00,1160.27,1160.46,1160.52,1159.05,0.01,0.13,71720,68023190.0,0.13,0.03
2025-08-25 13:40:00,1160.45,1159.08,1160.45,1158.42,-0.12,-1.38,66075,81638649.0,0.17,0.03
2025-08-25 13:45:00,1159.08,1159.93,1160.16,1158.53,0.07,0.85,45699,53457207.0,0.14,0.02
2025-08-25 13:50:00,1159.94,1161.06,1161.18,1159.56,0.1,1.13,46739,54279680.0,0.14,0.02
2025-08-25 13:55:00,1161.06,1161.25,1161.82,1160.94,0.02,0.19,41949,50050010.0,0.08,0.02
2025-08-25 14:00:00,1161.29,1161.0,1161.87,1160.79,-0.02,-0.25,45046,56463798.0,0.09,0.02
2025-08-25 14:05:00,1160.95,1160.75,1161.64,1160.21,-0.02,-0.25,64753,73472296.0,0.12,0.03
2025-08-25 14:10:00,1160.89,1161.36,1161.72,1160.44,0.05,0.61,44579,57874424.0,0.11,0.02
2025-08-25 14:15:00,1161.56,1162.21,1162.38,1161.49,0.07,0.85,59434,64891151.0,0.08,0.02
2025-08-25 14:20:00,1162.3,1163.75,1163.88,1162.3,0.13,1.54,63830,77854415.0,0.14,0.02
2025-08-25 14:25:00,1163.82,1164.26,1164.47,1163.6,0.04,0.51,60040,74461664.0,0.07,0.02
2025-08-25 14:30:00,1164.31,1165.06,1165.06,1163.79,0.07,0.8,61794,73345226.0,0.11,0.02
2025-08-25 14:35:00,1165.06,1164.7,1165.81,1164.6,-0.03,-0.36,81285,102732753.0,0.1,0.03
2025-08-25 14:40:00,1164.76,1165.12,1165.51,1164.65,0.04,0.42,60462,71998226.0,0.07,0.02
