日期时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-08-19 09:35:00,25371.0,25460.95,25463.43,25334.41,0.71,179.35,3417400,5362071184.0,0.51,0.45
2025-08-19 09:40:00,25462.07,25522.84,25524.72,25436.73,0.24,61.89,1304413,2433556848.0,0.35,0.17
2025-08-19 09:45:00,25521.65,25501.63,25521.65,25469.73,-0.08,-21.21,1104357,1767630334.0,0.2,0.15
2025-08-19 09:50:00,25500.96,25511.45,25523.78,25490.98,0.04,9.82,916282,1447045328.0,0.13,0.12
2025-08-19 09:55:00,25509.38,25528.62,25540.22,25509.38,0.07,17.17,799644,1286539439.0,0.12,0.11
2025-08-19 10:00:00,25530.06,25462.7,25530.06,25462.7,-0.26,-65.92,723623,1169431552.0,0.26,0.1
2025-08-19 10:05:00,25460.67,25362.01,25464.24,25358.39,-0.4,-100.69,914667,1563219920.0,0.42,0.12
2025-08-19 10:10:00,25358.43,25400.01,25402.95,25314.67,0.15,38.0,888361,1457090977.0,0.35,0.12
2025-08-19 10:15:00,25400.74,25380.62,25415.05,25377.19,-0.08,-19.39,1327162,1781274848.0,0.15,0.18
2025-08-19 10:20:00,25381.59,25378.25,25397.24,25375.16,-0.01,-2.37,1195370,1617293680.0,0.09,0.16
2025-08-19 10:25:00,25375.87,25376.87,25395.35,25370.91,-0.01,-1.38,1664574,2119733460.0,0.1,0.22
2025-08-19 10:30:00,25375.86,25449.66,25454.08,25375.49,0.29,72.79,847112,1042839435.0,0.31,0.11
2025-08-19 10:35:00,25453.42,25485.01,25490.41,25450.52,0.14,35.35,873374,841764931.0,0.16,0.12
2025-08-19 10:40:00,25483.92,25502.47,25504.16,25483.92,0.07,17.46,624038,690534615.0,0.08,0.08
2025-08-19 10:45:00,25501.71,25503.18,25514.68,25491.26,0.0,0.71,447210,588256260.0,0.09,0.06
2025-08-19 10:50:00,25505.87,25509.16,25520.12,25502.95,0.02,5.98,429075,573715097.0,0.07,0.06
2025-08-19 10:55:00,25511.79,25538.94,25540.63,25510.29,0.12,29.78,347702,522423750.0,0.12,0.05
2025-08-19 11:00:00,25538.19,25524.72,25545.6,25521.94,-0.06,-14.22,283748,446753994.0,0.09,0.04
2025-08-19 11:05:00,25522.44,25576.07,25576.48,25521.87,0.2,51.35,316362,555531290.0,0.21,0.04
2025-08-19 11:10:00,25577.44,25571.21,25592.34,25567.88,-0.02,-4.86,345806,628677971.0,0.1,0.05
2025-08-19 11:15:00,25572.81,25598.01,25599.64,25571.33,0.1,26.8,407708,740271132.0,0.11,0.05
2025-08-19 11:20:00,25597.83,25603.47,25612.62,25583.68,0.02,5.46,365251,711042837.0,0.11,0.05
2025-08-19 11:25:00,25602.89,25619.71,25621.8,25602.89,0.06,16.24,311162,590855227.0,0.07,0.04
2025-08-19 11:30:00,25619.13,25663.03,25664.11,25617.94,0.17,43.32,406453,847974209.0,0.18,0.05
2025-08-19 13:05:00,25663.03,25688.55,25690.18,25663.03,0.1,25.52,1030011,1818172768.0,0.11,0.14
2025-08-19 13:10:00,25690.49,25707.01,25720.8,25685.49,0.07,18.46,601672,1163426006.0,0.14,0.08
2025-08-19 13:15:00,25707.82,25692.78,25710.75,25692.78,-0.06,-14.23,449319,815702779.0,0.07,0.06
2025-08-19 13:20:00,25692.81,25688.57,25709.77,25681.88,-0.02,-4.21,464573,756228671.0,0.11,0.06
2025-08-19 13:25:00,25688.8,25693.38,25701.79,25685.98,0.02,4.81,335277,559161546.0,0.06,0.04
2025-08-19 13:30:00,25692.32,25674.55,25693.32,25666.2,-0.07,-18.83,391961,639901952.0,0.11,0.05
2025-08-19 13:35:00,25671.84,25621.32,25675.64,25621.32,-0.21,-53.23,533856,879604759.0,0.21,0.07
2025-08-19 13:40:00,25622.21,25640.02,25642.75,25607.57,0.07,18.7,568619,837442503.0,0.14,0.08
2025-08-19 13:45:00,25643.54,25632.45,25647.95,25632.45,-0.03,-7.57,380558,686260936.0,0.06,0.05
2025-08-19 13:50:00,25631.72,25590.28,25632.76,25585.99,-0.16,-42.17,407828,764064178.0,0.18,0.05
2025-08-19 13:55:00,25590.31,25554.0,25590.31,25537.31,-0.14,-36.28,482099,798969671.0,0.21,0.06
2025-08-19 14:00:00,25557.07,25573.61,25584.82,25557.07,0.08,19.61,304324,577850252.0,0.11,0.04
2025-08-19 14:05:00,25575.53,25616.78,25620.05,25570.09,0.17,43.17,480497,921835555.0,0.2,0.06
2025-08-19 14:10:00,25619.36,25608.38,25624.8,25606.97,-0.03,-8.4,313470,588569566.0,0.07,0.04
2025-08-19 14:15:00,25610.26,25603.64,25614.36,25599.13,-0.02,-4.74,311302,656358212.0,0.06,0.04
2025-08-19 14:20:00,25602.85,25592.62,25614.95,25591.88,-0.04,-11.02,314915,598766090.0,0.09,0.04
2025-08-19 14:25:00,25594.52,25568.36,25594.56,25566.61,-0.09,-24.26,285511,559767003.0,0.11,0.04
2025-08-19 14:30:00,25570.91,25571.39,25571.39,25545.26,0.01,3.03,376812,707644977.0,0.1,0.05
2025-08-19 14:35:00,25571.37,25585.16,25594.59,25566.69,0.05,13.77,335442,608000376.0,0.11,0.04
2025-08-19 14:40:00,25585.46,25582.54,25601.86,25582.23,-0.01,-2.62,311420,494343873.0,0.08,0.04
2025-08-19 14:45:00,25580.96,25593.43,25593.43,25572.18,0.04,10.89,343726,572572851.0,0.08,0.05
2025-08-19 14:50:00,25596.02,25594.43,25603.72,25589.43,0.0,1.0,405137,657802526.0,0.06,0.05
2025-08-19 14:55:00,25597.97,25580.78,25597.97,25572.53,-0.05,-13.65,572655,883087119.0,0.1,0.08
2025-08-19 15:00:00,25582.2,25589.41,25593.7,25581.16,0.03,8.63,532520,807697370.0,0.05,0.07
2025-08-20 09:35:00,25528.21,25512.85,25545.77,25469.54,-0.3,-76.56,5478520,7661304816.0,0.3,0.73
2025-08-20 09:40:00,25509.16,25559.14,25565.95,25480.49,0.18,46.29,2152726,3104729136.0,0.33,0.29
2025-08-20 09:45:00,25560.91,25539.4,25587.05,25539.4,-0.08,-19.74,1448161,2089163600.0,0.19,0.19
2025-08-20 09:50:00,25540.43,25563.92,25575.69,25520.13,0.1,24.52,1024645,1545291723.0,0.22,0.14
2025-08-20 09:55:00,25561.08,25555.95,25572.25,25538.4,-0.03,-7.97,1006176,1417616048.0,0.13,0.13
2025-08-20 10:00:00,25554.79,25524.56,25554.79,25512.39,-0.12,-31.39,1212576,1688479522.0,0.17,0.16
2025-08-20 10:05:00,25527.05,25557.25,25564.88,25504.32,0.13,32.69,920078,1327388033.0,0.24,0.12
2025-08-20 10:10:00,25555.28,25552.04,25566.22,25537.27,-0.02,-5.21,844643,1329934307.0,0.11,0.11
2025-08-20 10:15:00,25553.62,25570.79,25572.45,25542.82,0.07,18.75,1000047,1344897857.0,0.12,0.13
2025-08-20 10:20:00,25571.98,25614.5,25616.1,25564.99,0.17,43.71,770068,1059504793.0,0.2,0.1
2025-08-20 10:25:00,25615.36,25581.79,25616.8,25580.26,-0.13,-32.71,658771,884060959.0,0.14,0.09
2025-08-20 10:30:00,25581.13,25628.81,25628.81,25566.18,0.18,47.02,590852,796310268.0,0.24,0.08
2025-08-20 10:35:00,25628.95,25649.73,25660.63,25628.55,0.08,20.92,596945,782557146.0,0.13,0.08
2025-08-20 10:40:00,25652.48,25673.55,25691.94,25652.48,0.09,23.82,588104,857084545.0,0.15,0.08
2025-08-20 10:45:00,25672.52,25675.37,25678.34,25657.42,0.01,1.82,375442,622647006.0,0.08,0.05
2025-08-20 10:50:00,25674.58,25692.88,25695.32,25673.15,0.07,17.51,340967,523891077.0,0.09,0.05
2025-08-20 10:55:00,25693.47,25675.72,25699.99,25671.66,-0.07,-17.16,370781,525280145.0,0.11,0.05
2025-08-20 11:00:00,25677.72,25655.36,25677.72,25653.93,-0.08,-20.36,401667,638651166.0,0.09,0.05
2025-08-20 11:05:00,25650.38,25649.18,25652.94,25620.32,-0.02,-6.18,445013,751348705.0,0.13,0.06
2025-08-20 11:10:00,25649.79,25655.44,25660.35,25639.29,0.02,6.26,302613,491618719.0,0.08,0.04
2025-08-20 11:15:00,25655.02,25668.03,25671.53,25650.73,0.05,12.59,297403,509581685.0,0.08,0.04
2025-08-20 11:20:00,25666.93,25612.97,25666.93,25608.02,-0.21,-55.06,438975,660103130.0,0.23,0.06
2025-08-20 11:25:00,25611.07,25590.57,25637.42,25590.57,-0.09,-22.4,315508,481092044.0,0.18,0.04
2025-08-20 11:30:00,25590.94,25617.69,25618.56,25535.42,0.11,27.12,478569,701729540.0,0.32,0.06
2025-08-20 13:05:00,25617.69,25623.38,25661.0,25617.69,0.02,5.69,426512,748730331.0,0.17,0.06
2025-08-20 13:10:00,25622.01,25581.56,25622.84,25581.56,-0.16,-41.82,301512,509901720.0,0.16,0.04
2025-08-20 13:15:00,25580.14,25608.91,25624.24,25580.14,0.11,27.35,285923,461414592.0,0.17,0.04
2025-08-20 13:20:00,25611.28,25624.18,25626.53,25601.16,0.06,15.27,228809,427651101.0,0.1,0.03
2025-08-20 13:25:00,25621.33,25635.32,25636.63,25615.87,0.04,11.14,240439,385964164.0,0.08,0.03
2025-08-20 13:30:00,25635.33,25643.83,25643.83,25616.67,0.03,8.51,288501,451636628.0,0.11,0.04
2025-08-20 13:35:00,25642.05,25649.47,25653.77,25639.96,0.02,5.64,231857,396701271.0,0.05,0.03
2025-08-20 13:40:00,25650.42,25659.84,25666.0,25649.83,0.04,10.37,332223,563665662.0,0.06,0.04
2025-08-20 13:45:00,25661.96,25654.1,25674.78,25649.22,-0.02,-5.74,281617,499252747.0,0.1,0.04
2025-08-20 13:50:00,25652.24,25685.98,25685.98,25646.74,0.12,31.88,286155,498534565.0,0.15,0.04
2025-08-20 13:55:00,25682.11,25674.81,25683.7,25674.81,-0.04,-11.17,261819,450399889.0,0.03,0.03
2025-08-20 14:00:00,25674.74,25694.23,25697.15,25661.65,0.08,19.42,272909,472372035.0,0.14,0.04
2025-08-20 14:05:00,25695.57,25752.43,25754.38,25695.57,0.23,58.2,380340,631808133.0,0.23,0.05
2025-08-20 14:10:00,25752.83,25732.38,25753.79,25732.05,-0.08,-20.05,280983,484177053.0,0.08,0.04
2025-08-20 14:15:00,25731.79,25749.09,25755.31,25730.82,0.06,16.71,276966,488765152.0,0.1,0.04
2025-08-20 14:20:00,25747.67,25752.19,25774.69,25747.34,0.01,3.1,372862,608087558.0,0.11,0.05
2025-08-20 14:25:00,25752.46,25742.33,25757.57,25727.32,-0.04,-9.86,330142,581695443.0,0.12,0.04
2025-08-20 14:30:00,25742.15,25772.63,25772.63,25733.2,0.12,30.3,515222,785699137.0,0.15,0.07
2025-08-20 14:35:00,25770.23,25783.63,25796.95,25769.89,0.04,11.0,889388,1257755293.0,0.1,0.12
2025-08-20 14:40:00,25783.56,25771.79,25783.56,25757.24,-0.05,-11.84,612653,903636243.0,0.1,0.08
2025-08-20 14:45:00,25771.06,25777.35,25784.77,25767.04,0.02,5.56,503216,759435046.0,0.07,0.07
2025-08-20 14:50:00,25778.64,25820.37,25822.51,25776.3,0.17,43.02,643164,951755519.0,0.18,0.09
2025-08-20 14:55:00,25820.57,25828.97,25832.47,25811.14,0.03,8.6,705478,1036389855.0,0.08,0.09
2025-08-20 15:00:00,25829.92,25852.79,25852.79,25829.92,0.09,23.82,818097,1156540577.0,0.09,0.11
2025-08-21 09:35:00,25875.54,25849.88,25878.27,25821.02,-0.01,-2.91,3708673,5349703488.0,0.22,0.49
2025-08-21 09:40:00,25852.14,25858.32,25890.24,25849.46,0.03,8.44,1806351,2444621616.0,0.16,0.24
2025-08-21 09:45:00,25860.09,25797.42,25863.08,25790.19,-0.24,-60.9,2051302,2619321984.0,0.28,0.27
2025-08-21 09:50:00,25799.52,25809.46,25860.0,25796.99,0.05,12.04,1092522,1545809936.0,0.24,0.15
2025-08-21 09:55:00,25807.8,25770.48,25819.69,25770.48,-0.15,-38.98,918631,1311953600.0,0.19,0.12
2025-08-21 10:00:00,25768.73,25718.08,25768.73,25717.38,-0.2,-52.4,954955,1355120594.0,0.2,0.13
2025-08-21 10:05:00,25716.34,25728.85,25784.65,25710.62,0.04,10.77,860812,1217739334.0,0.29,0.11
2025-08-21 10:10:00,25728.95,25810.23,25812.81,25727.63,0.32,81.38,553410,866554900.0,0.33,0.07
2025-08-21 10:15:00,25810.88,25838.92,25844.11,25809.8,0.11,28.69,494399,820220824.0,0.13,0.07
2025-08-21 10:20:00,25837.69,25813.83,25837.83,25785.84,-0.1,-25.09,624776,974630920.0,0.2,0.08
2025-08-21 10:25:00,25814.98,25832.69,25848.95,25813.01,0.07,18.86,459995,714638985.0,0.14,0.06
2025-08-21 10:30:00,25833.72,25832.72,25852.36,25820.45,0.0,0.03,592353,1018735092.0,0.12,0.08
2025-08-21 10:35:00,25831.88,25862.6,25865.26,25819.43,0.12,29.88,651772,1041333937.0,0.18,0.09
2025-08-21 10:40:00,25862.0,25911.86,25911.86,25862.0,0.19,49.26,486273,840092269.0,0.19,0.06
2025-08-21 10:45:00,25910.73,25907.87,25913.3,25892.34,-0.02,-3.99,563963,927717368.0,0.08,0.08
2025-08-21 10:50:00,25908.7,25923.82,25946.82,25906.83,0.06,15.95,534192,878424811.0,0.15,0.07
2025-08-21 10:55:00,25921.99,25942.72,25945.45,25921.99,0.07,18.9,568065,701966130.0,0.09,0.08
2025-08-21 11:00:00,25945.68,25951.5,25954.82,25939.09,0.03,8.78,305584,526005955.0,0.06,0.04
2025-08-21 11:05:00,25951.75,25965.9,25976.71,25951.75,0.06,14.4,374919,597576002.0,0.1,0.05
2025-08-21 11:10:00,25964.77,25911.32,25966.97,25911.32,-0.21,-54.58,360190,535764701.0,0.21,0.05
2025-08-21 11:15:00,25910.31,25900.99,25930.07,25900.99,-0.04,-10.33,264960,402565143.0,0.11,0.04
2025-08-21 11:20:00,25901.65,25884.47,25914.12,25881.83,-0.06,-16.52,234514,418390193.0,0.12,0.03
2025-08-21 11:25:00,25883.53,25887.54,25887.54,25850.09,0.01,3.07,288287,504671353.0,0.14,0.04
2025-08-21 11:30:00,25885.34,25903.34,25904.14,25882.61,0.06,15.8,181633,321268208.0,0.08,0.02
2025-08-21 13:05:00,25903.34,25971.29,25971.29,25903.34,0.26,67.95,449691,728048191.0,0.26,0.06
2025-08-21 13:10:00,25970.67,25950.39,25977.96,25943.7,-0.08,-20.9,351504,559772898.0,0.13,0.05
2025-08-21 13:15:00,25949.55,25956.57,25956.58,25943.8,0.02,6.18,396434,659149824.0,0.05,0.05
2025-08-21 13:20:00,25956.87,25989.48,25989.74,25947.29,0.13,32.91,358251,534827398.0,0.16,0.05
2025-08-21 13:25:00,25990.26,25986.59,25991.72,25974.65,-0.01,-2.89,277705,506690632.0,0.07,0.04
2025-08-21 13:30:00,25987.72,25942.66,25987.72,25939.34,-0.17,-43.93,270797,507328834.0,0.19,0.04
2025-08-21 13:35:00,25940.5,25913.95,25954.46,25910.85,-0.11,-28.71,304729,517326871.0,0.17,0.04
2025-08-21 13:40:00,25914.02,25917.29,25919.13,25895.18,0.01,3.34,288334,467559235.0,0.09,0.04
2025-08-21 13:45:00,25915.98,25912.84,25916.89,25893.29,-0.02,-4.45,357811,523290074.0,0.09,0.05
2025-08-21 13:50:00,25913.98,25893.87,25914.67,25893.87,-0.07,-18.97,252991,418489498.0,0.08,0.03
2025-08-21 13:55:00,25893.6,25901.85,25903.54,25883.61,0.03,7.98,349760,564197150.0,0.08,0.05
2025-08-21 14:00:00,25900.89,25900.4,25903.15,25890.74,-0.01,-1.45,249682,415579197.0,0.05,0.03
2025-08-21 14:05:00,25903.04,25877.04,25908.67,25868.74,-0.09,-23.36,283827,465707934.0,0.15,0.04
2025-08-21 14:10:00,25874.95,25878.2,25904.35,25870.64,0.0,1.16,289648,526547412.0,0.13,0.04
2025-08-21 14:15:00,25876.43,25868.8,25881.34,25863.34,-0.04,-9.4,368018,464282194.0,0.07,0.05
2025-08-21 14:20:00,25869.91,25878.04,25881.6,25864.88,0.04,9.24,474760,552653097.0,0.06,0.06
2025-08-21 14:25:00,25878.66,25797.7,25878.66,25796.13,-0.31,-80.34,643604,905538161.0,0.32,0.09
2025-08-21 14:30:00,25797.19,25815.88,25815.88,25762.46,0.07,18.18,720004,945698383.0,0.21,0.1
2025-08-21 14:35:00,25816.03,25744.64,25831.46,25744.64,-0.28,-71.24,559245,746306956.0,0.34,0.07
2025-08-21 14:40:00,25742.86,25729.94,25763.75,25713.81,-0.06,-14.7,576628,868485698.0,0.19,0.08
2025-08-21 14:45:00,25727.12,25745.53,25771.07,25726.19,0.06,15.59,476779,791250715.0,0.17,0.06
2025-08-21 14:50:00,25744.91,25764.46,25774.14,25736.69,0.07,18.93,515286,890220389.0,0.15,0.07
2025-08-21 14:55:00,25763.51,25798.66,25799.79,25763.51,0.13,34.2,625626,979096181.0,0.14,0.08
2025-08-21 15:00:00,25799.72,25820.46,25820.46,25798.21,0.08,21.8,664641,1004272775.0,0.09,0.09
2025-08-22 09:35:00,25790.86,25799.38,25823.1,25768.31,-0.08,-21.08,2371220,3244703968.0,0.21,0.32
2025-08-22 09:40:00,25797.57,25851.96,25867.48,25792.13,0.2,52.58,1182000,1778228432.0,0.29,0.16
2025-08-22 09:45:00,25850.98,25861.68,25861.68,25822.78,0.04,9.72,1281040,1808581120.0,0.15,0.17
2025-08-22 09:50:00,25861.22,25846.2,25879.67,25844.02,-0.06,-15.48,900259,1343708884.0,0.14,0.12
2025-08-22 09:55:00,25845.57,25807.92,25852.42,25806.15,-0.15,-38.28,831065,1331715360.0,0.18,0.11
2025-08-22 10:00:00,25806.8,25778.36,25809.13,25773.31,-0.11,-29.56,890576,1278472275.0,0.14,0.12
2025-08-22 10:05:00,25776.24,25742.75,25779.23,25735.25,-0.14,-35.61,771848,1146372488.0,0.17,0.1
2025-08-22 10:10:00,25739.38,25690.89,25739.38,25690.89,-0.2,-51.86,632380,951055067.0,0.19,0.08
2025-08-22 10:15:00,25689.71,25690.5,25698.98,25662.83,0.0,-0.39,626713,1030701648.0,0.14,0.08
2025-08-22 10:20:00,25691.04,25716.49,25717.13,25676.53,0.1,25.99,453935,721428621.0,0.16,0.06
2025-08-22 10:25:00,25717.23,25687.86,25720.75,25687.15,-0.11,-28.63,521770,728972607.0,0.13,0.07
2025-08-22 10:30:00,25687.4,25684.36,25697.24,25661.56,-0.01,-3.5,606407,821318466.0,0.14,0.08
2025-08-22 10:35:00,25684.89,25693.34,25729.55,25684.89,0.03,8.98,493079,701743507.0,0.17,0.07
2025-08-22 10:40:00,25694.51,25717.45,25720.71,25687.54,0.09,24.11,323212,544682087.0,0.13,0.04
2025-08-22 10:45:00,25715.55,25742.06,25742.06,25711.09,0.1,24.61,328147,560428361.0,0.12,0.04
2025-08-22 10:50:00,25742.83,25759.01,25777.74,25741.92,0.07,16.95,293343,495722616.0,0.14,0.04
2025-08-22 10:55:00,25762.51,25763.55,25773.63,25758.5,0.02,4.54,293477,571464800.0,0.06,0.04
2025-08-22 11:00:00,25762.97,25743.7,25762.97,25741.32,-0.08,-19.85,262329,437251666.0,0.08,0.03
2025-08-22 11:05:00,25741.88,25723.28,25745.7,25721.42,-0.08,-20.42,296239,500641559.0,0.09,0.04
2025-08-22 11:10:00,25721.35,25753.19,25767.46,25718.58,0.12,29.91,262762,437065227.0,0.19,0.03
2025-08-22 11:15:00,25754.42,25749.83,25755.79,25739.79,-0.01,-3.36,246885,439684229.0,0.06,0.03
2025-08-22 11:20:00,25749.44,25772.14,25776.12,25745.88,0.09,22.31,314654,701060691.0,0.12,0.04
2025-08-22 11:25:00,25771.08,25757.75,25778.57,25756.3,-0.06,-14.39,346131,625547203.0,0.09,0.05
2025-08-22 11:30:00,25759.3,25785.17,25787.01,25749.98,0.11,27.42,299812,610896455.0,0.14,0.04
2025-08-22 13:05:00,25785.17,25787.01,25820.59,25785.17,0.01,1.84,524938,937773482.0,0.14,0.07
2025-08-22 13:10:00,25788.33,25779.47,25788.55,25773.99,-0.03,-7.54,335054,581563864.0,0.06,0.04
2025-08-22 13:15:00,25782.82,25780.03,25786.55,25773.08,0.0,0.56,378367,552554612.0,0.05,0.05
2025-08-22 13:20:00,25780.49,25721.38,25780.75,25720.33,-0.23,-58.65,371548,594721217.0,0.23,0.05
2025-08-22 13:25:00,25718.94,25722.08,25732.21,25708.6,0.0,0.7,373863,618423201.0,0.09,0.05
2025-08-22 13:30:00,25721.49,25763.71,25767.62,25720.74,0.16,41.63,373030,550257922.0,0.18,0.05
2025-08-22 13:35:00,25764.14,25774.47,25777.94,25761.88,0.04,10.76,266891,457464885.0,0.06,0.04
2025-08-22 13:40:00,25775.09,25775.85,25778.04,25762.91,0.01,1.38,258537,495079945.0,0.06,0.03
2025-08-22 13:45:00,25774.07,25790.29,25790.29,25774.07,0.06,14.44,478362,591135670.0,0.06,0.06
2025-08-22 13:50:00,25792.6,25788.56,25792.6,25775.51,-0.01,-1.73,463050,628556156.0,0.07,0.06
2025-08-22 13:55:00,25788.91,25782.88,25792.48,25775.05,-0.02,-5.68,425972,552611977.0,0.07,0.06
2025-08-22 14:00:00,25781.68,25779.29,25790.29,25771.53,-0.01,-3.59,496093,668540387.0,0.07,0.07
2025-08-22 14:05:00,25777.56,25804.66,25805.64,25777.56,0.1,25.37,363015,540120511.0,0.11,0.05
2025-08-22 14:10:00,25804.95,25816.14,25824.22,25804.95,0.04,11.48,360963,525250048.0,0.07,0.05
2025-08-22 14:15:00,25815.73,25810.02,25822.74,25808.44,-0.02,-6.12,379749,539883696.0,0.06,0.05
2025-08-22 14:20:00,25808.03,25817.23,25823.86,25796.86,0.03,7.21,296683,533802595.0,0.1,0.04
2025-08-22 14:25:00,25815.88,25844.94,25844.94,25809.44,0.11,27.71,341684,568857122.0,0.14,0.05
2025-08-22 14:30:00,25848.07,25857.05,25859.03,25840.47,0.05,12.11,372531,636662358.0,0.07,0.05
2025-08-22 14:35:00,25856.58,25861.89,25866.36,25850.91,0.02,4.84,420037,695746780.0,0.06,0.06
2025-08-22 14:40:00,25861.37,25858.29,25868.82,25853.24,-0.01,-3.6,435170,784155125.0,0.06,0.06
2025-08-22 14:45:00,25859.91,25848.46,25859.91,25842.75,-0.04,-9.83,516054,843578626.0,0.07,0.07
2025-08-22 14:50:00,25850.93,25867.87,25871.05,25844.46,0.08,19.41,598842,1005107113.0,0.1,0.08
2025-08-22 14:55:00,25868.66,25871.59,25872.49,25860.31,0.01,3.72,812406,1322537415.0,0.05,0.11
2025-08-22 15:00:00,25872.55,25887.25,25887.25,25862.33,0.06,15.66,794295,1221727880.0,0.1,0.11
2025-08-25 09:35:00,25995.01,25862.44,26022.44,25862.44,-0.1,-24.81,3339956,5044260784.0,0.62,0.44
2025-08-25 09:40:00,25864.3,25858.44,25880.4,25834.94,-0.02,-4.0,1888871,3099497888.0,0.18,0.25
2025-08-25 09:45:00,25861.29,25947.4,25962.91,25861.29,0.34,88.96,1230693,2064747168.0,0.39,0.16
2025-08-25 09:50:00,25951.73,25914.45,25955.33,25882.67,-0.13,-32.95,1097551,1764382848.0,0.28,0.15
2025-08-25 09:55:00,25913.52,25994.39,25994.39,25899.35,0.31,79.94,882971,1416293041.0,0.37,0.12
2025-08-25 10:00:00,25994.74,26051.81,26053.15,25994.74,0.22,57.42,1170323,1601293269.0,0.22,0.16
2025-08-25 10:05:00,26052.96,26041.18,26072.25,26028.95,-0.04,-10.63,865214,1288243324.0,0.17,0.12
2025-08-25 10:10:00,26043.26,26060.8,26063.76,26033.33,0.08,19.62,1315681,1674380016.0,0.12,0.18
2025-08-25 10:15:00,26060.55,26082.54,26086.33,26056.81,0.08,21.74,793930,1144910664.0,0.11,0.11
2025-08-25 10:20:00,26080.29,26096.46,26099.87,26067.56,0.05,13.92,663254,1213894536.0,0.12,0.09
2025-08-25 10:25:00,26098.48,26083.57,26104.63,26076.15,-0.05,-12.89,555170,1114318262.0,0.11,0.07
2025-08-25 10:30:00,26081.94,26085.3,26099.88,26081.94,0.01,1.73,566949,967849876.0,0.07,0.08
2025-08-25 10:35:00,26087.65,26073.52,26091.85,26055.28,-0.05,-11.78,577254,980430723.0,0.14,0.08
2025-08-25 10:40:00,26074.66,26054.73,26076.57,26051.85,-0.07,-18.79,394842,685646179.0,0.09,0.05
2025-08-25 10:45:00,26054.26,26068.33,26072.53,26049.57,0.05,13.6,422358,720459188.0,0.09,0.06
2025-08-25 10:50:00,26065.77,26060.06,26066.69,26046.41,-0.03,-8.27,441078,659443378.0,0.08,0.06
2025-08-25 10:55:00,26058.34,26069.69,26069.69,26051.28,0.04,9.63,351665,565600280.0,0.07,0.05
2025-08-25 11:00:00,26069.69,26079.16,26089.27,26068.39,0.04,9.47,404961,633717620.0,0.08,0.05
2025-08-25 11:05:00,26080.89,26044.13,26088.65,26040.92,-0.13,-35.03,413068,715119692.0,0.18,0.05
2025-08-25 11:10:00,26042.87,26034.96,26049.65,26032.74,-0.04,-9.17,351593,622996537.0,0.06,0.05
2025-08-25 11:15:00,26033.47,26026.33,26040.15,26025.45,-0.03,-8.63,301892,518660605.0,0.06,0.04
2025-08-25 11:20:00,26025.41,25985.85,26027.82,25985.85,-0.16,-40.48,403298,673863361.0,0.16,0.05
2025-08-25 11:25:00,25986.93,25970.22,25989.13,25938.34,-0.06,-15.63,512754,842470803.0,0.2,0.07
2025-08-25 11:30:00,25971.7,25939.84,25972.04,25912.63,-0.12,-30.38,526057,894556607.0,0.23,0.07
2025-08-25 13:05:00,25939.84,25965.68,25983.4,25939.84,0.1,25.84,762559,1215092114.0,0.17,0.1
2025-08-25 13:10:00,25963.98,25980.19,25983.79,25952.78,0.06,14.51,397348,791095968.0,0.12,0.05
2025-08-25 13:15:00,25978.62,25959.15,25984.86,25954.36,-0.08,-21.04,446309,962108484.0,0.12,0.06
2025-08-25 13:20:00,25960.88,25917.54,25960.88,25917.54,-0.16,-41.61,524392,864156364.0,0.17,0.07
2025-08-25 13:25:00,25916.34,25981.58,25989.34,25914.05,0.25,64.04,544492,1000909705.0,0.29,0.07
2025-08-25 13:30:00,25980.78,25940.18,25989.55,25933.4,-0.16,-41.4,639625,1171212627.0,0.22,0.09
2025-08-25 13:35:00,25941.1,25946.22,25960.83,25920.95,0.02,6.04,379643,715799242.0,0.15,0.05
2025-08-25 13:40:00,25946.64,25913.94,25946.64,25903.75,-0.12,-32.28,358653,629179646.0,0.17,0.05
2025-08-25 13:45:00,25913.8,25934.44,25935.74,25901.72,0.08,20.5,334509,666467596.0,0.13,0.04
2025-08-25 13:50:00,25934.62,25965.35,25965.35,25918.53,0.12,30.91,291333,554163133.0,0.18,0.04
2025-08-25 13:55:00,25965.4,25985.38,25985.38,25959.26,0.08,20.03,318864,615658185.0,0.1,0.04
2025-08-25 14:00:00,25987.55,25961.82,25987.55,25960.87,-0.09,-23.56,252419,495871757.0,0.1,0.03
2025-08-25 14:05:00,25959.8,25942.7,25962.35,25929.92,-0.07,-19.12,318437,637055056.0,0.12,0.04
2025-08-25 14:10:00,25942.79,25976.59,25977.77,25931.59,0.13,33.89,259957,494545868.0,0.18,0.03
2025-08-25 14:15:00,25977.88,25997.09,25997.09,25977.88,0.08,20.5,281487,530592847.0,0.07,0.04
2025-08-25 14:20:00,25996.43,26032.39,26033.95,25996.43,0.14,35.3,264904,516129632.0,0.14,0.04
2025-08-25 14:25:00,26034.44,26062.16,26065.03,26028.04,0.11,29.77,267731,554340909.0,0.14,0.04
2025-08-25 14:30:00,26060.69,26087.34,26089.13,26060.69,0.1,25.18,350938,834612662.0,0.11,0.05
2025-08-25 14:35:00,26090.21,26063.94,26103.81,26063.94,-0.09,-23.4,370461,830595005.0,0.15,0.05
