SERIAL,PER_NAV,TRADING_VOLUMES{2025-10-17},CHG,PCHG{2025-10-17},STARTDATE,PREMIUM,FOUND_DATE,SECURITY_CODE,QJFE_DAY{2025-10-17},NEWEST_PRICE,SECURITY_SHORT_NAME,MARKET_NUM,IN_OPTIONAL,NEW_SHARE,FUND_CHG_NEW,T0,NEW_SCALE
27,2.9541,1.13亿,-3.11,-0.095,2022-07-22,0.005,2022-07-28,560010,300.00万,2.959,中证1000ETF指数,1,False,112.39亿,-2.89|2025-10-17,T+1,332.00亿|2025-10-17
28,0.5443,46.03亿,-3.35,-0.019,2021-01-18,0.005,2021-01-26,513330,1.26亿,0.549,恒生互联网ETF,1,False,607.47亿,-4.04|2025-10-17,T+0,330.65亿|2025-10-17
29,2.2144,171.21亿,-3.13,-0.072,2020-02-24,0.012,2020-03-13,513090,1.53亿,2.226,香港证券ETF,1,False,149.13亿,-3.96|2025-10-17,T+0,330.23亿|2025-10-17
30,9.9657,61.15亿,3.66,0.353,2013-10-28,0.037,2013-11-29,159934,-,10.003,黄金ETF,0,False,33.07亿,3.00|2025-10-17,T+0,320.00亿|2025-10-16
31,119.0993,122.69亿,0.79,0.930,2023-02-17,0.107,2023-05-19,511090,433.00万,119.206,30年国债ETF,1,False,2.52亿,0.71|2025-10-17,T+0,300.27亿|2025-10-17
32,1.3142,19.84亿,-2.49,-0.034,2015-05-20,0.010,2015-06-10,159941,-,1.329,纳指ETF,0,False,220.61亿,-0.39|2025-10-16,T+0,289.93亿|2025-10-16
33,1.7029,9.73亿,-3.68,-0.065,2019-12-24,0.000,2020-01-20,159995,-,1.703,芯片ETF,0,False,163.78亿,-3.62|2025-10-17,T+1,289.37亿|2025-10-16
34,9.4245,12.40亿,3.49,0.319,2013-06-24,0.027,2013-07-18,518800,6130.00万,9.451,黄金基金ETF,1,False,28.49亿,2.99|2025-10-17,T+0,268.49亿|2025-10-17
35,1.3804,21.79亿,-3.36,-0.048,2016-06-06,0.001,2016-06-30,159949,-,1.381,创业板50ETF,0,False,184.09亿,-3.44|2025-10-17,T+1,263.17亿|2025-10-16
36,0.3680,6.87亿,-2.39,-0.009,2019-04-22,0.000,2019-05-20,512170,5.81亿,0.368,医疗ETF,1,False,697.48亿,-2.52|2025-10-17,T+1,256.67亿|2025-10-17
37,10.1499,7.48亿,0.12,0.012,2014-10-17,0.002,2014-11-13,511220,1860.00万,10.152,城投债ETF,1,False,24.59亿,0.04|2025-10-17,T+0,249.63亿|2025-10-17
38,1.1863,12.40亿,-0.42,-0.005,2018-11-21,-0.001,2018-12-19,512890,6.19亿,1.185,红利低波ETF,1,False,201.76亿,-0.30|2025-10-17,T+1,239.35亿|2025-10-17
39,1.3823,8.29亿,-2.81,-0.040,2020-07-20,0.001,2020-07-27,159819,-,1.383,人工智能ETF,0,False,163.93亿,-2.95|2025-10-17,T+1,233.49亿|2025-10-16
40,4.1011,2.18亿,-2.10,-0.088,2006-03-09,0.003,2006-04-13,510180,1250.00万,4.104,上证180ETF,1,False,56.90亿,-2.10|2025-10-17,T+1,233.33亿|2025-10-17
41,0.7817,9.38亿,-3.43,-0.028,2021-05-31,0.007,2021-06-21,513980,3400.00万,0.789,港股科技50ETF,1,False,296.87亿,-4.14|2025-10-17,T+0,232.06亿|2025-10-17
42,106.2280,19.34亿,0.11,0.113,2018-12-10,0.024,2018-12-27,511030,103.00万,106.252,公司债ETF,1,False,2.17亿,0.03|2025-10-17,T+0,230.42亿|2025-10-17
43,1.3692,54.03亿,-2.88,-0.041,2022-06-13,0.014,2022-07-01,513120,350.00万,1.383,港股创新药ETF,1,False,165.32亿,-3.47|2025-10-17,T+0,226.36亿|2025-10-17
44,0.7940,17.43亿,-3.49,-0.029,2021-05-12,0.008,2021-05-18,513010,5.21亿,0.802,恒生科技ETF易方达,1,False,278.50亿,-4.06|2025-10-17,T+0,221.13亿|2025-10-17
45,2.2243,5.15亿,-0.96,-0.022,2013-11-04,0.024,2013-12-05,513500,0.00,2.263,标普500ETF,1,False,98.11亿,-0.67|2025-10-16,T+0,218.22亿|2025-10-16
46,0.9770,16.01亿,-3.55,-0.036,2021-11-11,0.000,2021-12-17,562500,3.89亿,0.977,机器人ETF,1,False,219.54亿,-3.56|2025-10-17,T+1,214.49亿|2025-10-17
47,1.4225,19.74亿,-4.11,-0.061,2019-04-22,0.001,2019-05-08,512480,1.88亿,1.423,半导体ETF,1,False,150.67亿,-4.06|2025-10-17,T+1,214.33亿|2025-10-17
48,0.8437,7.30亿,-1.17,-0.010,2013-07-15,-0.001,2013-08-23,159928,-,0.843,消费ETF,0,False,247.75亿,-1.16|2025-10-17,T+1,211.48亿|2025-10-16
49,0.8196,29.22亿,-0.12,-0.001,2017-05-25,0.001,2017-07-18,512800,14.40亿,0.821,银行ETF,1,False,253.29亿,-0.32|2025-10-17,T+1,207.60亿|2025-10-17
50,0.5946,10.79亿,-1.49,-0.009,2019-03-11,0.000,2019-04-04,512690,-1.19亿,0.595,酒ETF,1,False,345.40亿,-1.57|2025-10-17,T+1,205.37亿|2025-10-17
51,3.2312,7.92亿,-0.31,-0.010,2006-10-30,-0.002,2006-11-17,510880,-9650.00万,3.229,红利ETF,1,False,60.18亿,-0.35|2025-10-17,T+1,194.46亿|2025-10-17
52,0.6843,12.29亿,-2.29,-0.016,2021-02-18,0.000,2021-02-23,159870,-,0.684,化工ETF,0,False,260.11亿,-2.28|2025-10-17,T+1,182.15亿|2025-10-16
53,1.6733,11.73亿,-1.94,-0.033,2017-06-01,-0.002,2017-08-03,512400,3400.00万,1.671,有色金属ETF,1,False,107.23亿,-1.92|2025-10-17,T+1,179.42亿|2025-10-17
54,0.4142,7.27亿,-2.12,-0.009,2013-08-26,0.001,2013-09-23,512010,-2.19亿,0.415,医药ETF,1,False,403.78亿,-2.29|2025-10-17,T+1,167.24亿|2025-10-17
55,1.7500,7.96亿,-1.69,-0.031,2013-04-15,0.050,2013-04-25,513100,0.00,1.807,纳指ETF,1,False,94.66亿,-0.40|2025-10-16,T+0,165.66亿|2025-10-16
56,0.7626,28.80亿,-3.27,-0.026,2021-05-11,0.007,2021-05-18,159740,-,0.770,恒生科技ETF,0,False,206.66亿,-4.06|2025-10-17,T+0,164.27亿|2025-10-16
57,0.9993,10.71亿,-4.13,-0.043,2021-06-01,-0.001,2021-06-15,159755,-,0.998,电池ETF,0,False,156.84亿,-3.97|2025-10-17,T+1,163.20亿|2025-10-16
58,3.9015,1.06亿,-2.91,-0.117,2015-04-08,0.004,2015-05-05,512500,160.00万,3.905,中证500ETF华夏,1,False,41.57亿,-2.96|2025-10-17,T+1,162.18亿|2025-10-17
59,1.5582,6.46亿,-2.01,-0.032,2012-07-09,0.006,2012-08-09,159920,-,1.564,恒生ETF,0,False,96.22亿,-2.46|2025-10-17,T+0,153.70亿|2025-10-16
60,1.7765,3.86亿,-3.32,-0.061,2017-03-22,0.001,2017-04-25,159952,-,1.777,创业板ETF广发,0,False,80.44亿,-3.35|2025-10-17,T+1,147.85亿|2025-10-16
61,134.9500,34.57亿,0.16,0.212,2017-07-17,-0.024,2017-08-04,511260,0.00,134.926,十年国债ETF,1,False,1.09亿,0.08|2025-10-17,T+0,146.97亿|2025-10-17
62,1.1757,8.49亿,-3.37,-0.041,2016-06-20,0.001,2016-07-26,512660,3200.00万,1.177,军工ETF,1,False,125.00亿,-3.35|2025-10-17,T+1,146.96亿|2025-10-17
63,0.6871,9.47亿,-3.65,-0.026,2019-05-24,0.000,2019-07-23,512710,3300.00万,0.687,军工龙头ETF,1,False,203.48亿,-3.46|2025-10-17,T+1,139.81亿|2025-10-17
64,0.9098,10.36亿,-5.79,-0.056,2020-12-01,0.002,2020-12-07,515790,200.00万,0.912,光伏ETF,1,False,150.05亿,-5.89|2025-10-17,T+1,136.52亿|2025-10-17
65,0.8732,4.61亿,-2.24,-0.020,2014-06-09,-0.001,2014-06-26,512070,-2100.00万,0.872,证券保险ETF,1,False,153.06亿,-1.92|2025-10-17,T+1,133.66亿|2025-10-17
66,2.8403,5.97亿,-2.84,-0.083,2013-01-07,0.004,2013-02-06,159922,-,2.844,中证500ETF,0,False,45.45亿,-2.97|2025-10-17,T+1,133.03亿|2025-10-16
67,1.4328,2.11亿,-0.42,-0.006,2019-12-23,0.001,2020-01-17,515450,2700.00万,1.434,红利低波50ETF,1,False,92.22亿,-0.44|2025-10-17,T+1,132.13亿|2025-10-17
68,1.1683,14.30亿,-0.85,-0.010,2020-01-02,0.001,2020-01-20,515220,3.39亿,1.169,煤炭ETF,1,False,111.44亿,-0.83|2025-10-17,T+1,130.20亿|2025-10-17
69,2.9473,2.87亿,-2.93,-0.089,2022-07-22,0.002,2022-07-27,159629,-,2.949,1000ETF,0,False,42.13亿,-2.90|2025-10-17,T+1,127.89亿|2025-10-16
70,1.8408,11.31亿,-1.60,-0.034,2023-07-10,0.254,2023-07-19,159509,-,2.097,纳指科技ETF,0,False,64.79亿,-0.11|2025-10-16,T+0,119.26亿|2025-10-16
71,1.3985,4.66亿,-3.65,-0.053,2020-09-22,0.003,2020-09-28,588050,3400.00万,1.401,科创ETF,1,False,85.13亿,-3.76|2025-10-17,T+1,119.06亿|2025-10-17
72,0.9005,4.59亿,-2.28,-0.021,2020-03-02,-0.002,2020-03-20,159992,-,0.899,创新药ETF,0,False,125.80亿,-2.08|2025-10-17,T+1,115.68亿|2025-10-16
73,0.8535,4.60亿,-2.96,-0.026,2021-02-22,-0.001,2021-03-04,159851,-,0.853,金融科技ETF,0,False,129.26亿,-2.92|2025-10-17,T+1,113.64亿|2025-10-16
74,0.8367,4.47亿,-3.46,-0.030,2021-06-21,-0.001,2021-06-28,159781,-,0.836,科创创业ETF,0,False,130.07亿,-3.55|2025-10-17,T+1,112.83亿|2025-10-16
75,2.1936,6.38亿,-1.78,-0.040,2020-10-14,0.009,2020-10-22,513300,75.00万,2.211,纳斯达克ETF,1,False,50.70亿,-0.36|2025-10-16,T+0,111.20亿|2025-10-16
76,1.4016,5.45亿,-2.98,-0.043,2021-02-19,-0.002,2021-02-25,159869,-,1.400,游戏ETF,0,False,74.66亿,-2.82|2025-10-17,T+1,107.68亿|2025-10-16
77,1.7883,7.73亿,-2.45,-0.045,2021-03-03,0.003,2021-03-09,516150,1.87亿,1.791,稀土ETF嘉实,1,False,59.91亿,-2.65|2025-10-17,T+1,107.14亿|2025-10-17
78,0.5740,8.40亿,-3.51,-0.021,2022-01-17,0.003,2022-02-09,513770,400.00万,0.577,港股互联网ETF,1,False,182.03亿,-3.87|2025-10-17,T+0,104.49亿|2025-10-17
79,1.5807,4.69亿,-3.77,-0.062,2019-04-22,0.002,2019-05-16,512760,2880.00万,1.583,芯片ETF,1,False,64.85亿,-3.86|2025-10-17,T+1,102.51亿|2025-10-17
80,1.1178,5.16亿,-1.93,-0.022,2021-01-18,0.001,2021-01-28,159841,-,1.119,证券ETF,0,False,88.92亿,-2.08|2025-10-17,T+1,101.51亿|2025-10-16
